,CEREAL AND CEREAL PRODUCTS, Leafy vegetables,Fruiting vegetables, Root vegetables, Cabbages, Grain and pod vegetables," Onion, garlic"," Stalk vegetables, sprouts", Legumes, Nuts (-spread) and seeds, Olives, Breakfast cereals," Chocolate, candy bars, paste, confetti",Wine, Soya products, Citrus fruits, Apple and pear, Grape, Berries, Olive oil, Citrus juices, Coffee, Tea, Herbal tea, Red wine, Beer, Cider,"Bread, non-white"
Protocatechuic acid,-0.09223,-0.05021,-0.03678,0.01027,0.07773,0.00007,-0.07889,-0.01634,-0.06159,0.01936,-0.05825,0.04414,0.12782,0.13593,-0.00222,0.04021,0.07413,0.05986,0.0357,-0.2653,0.10241,0.51934,-0.00201,0.14867,0.11943,0.06482,0.07979,0.00902
Hydroxytyrosol,0.18012,0.1569,0.11792,-0.06727,0.06298,0.06212,0.04274,0.06409,0.11996,0.08501,0.33436,0.00365,-0.12153,0.53523,0.00103,0.13874,0.02662,0.03724,0.05705,0.27233,-0.0161,-0.21807,-0.01774,-0.06901,0.41158,-0.02784,0.00494,-0.11143
"3,5-Dihydroxybenzoic acid",0.04121,-0.01671,0.04748,0.06496,0.02737,-0.02208,-0.08048,-0.04379,-0.05906,0.03289,-0.05172,0.13997,0.07761,-0.13891,0.01389,-0.01035,-0.00059,0.05244,0.00767,-0.17809,0.11907,0.22411,0.23166,0.23999,-0.14987,0.06046,0.09475,0.34521
"3,4-Dihydroxyphenylacetic acid",0.13995,0.0968,0.00588,-0.05919,0.06223,0.03365,0.07936,0.0363,0.08979,0.06774,0.30446,-0.01914,0.04393,0.18844,-0.01074,0.25561,0.2024,0.04864,0.02722,0.12756,-0.05251,-0.04094,-0.03187,0.04143,0.1556,-0.04804,0.01777,-0.00619
Genistein,-0.11605,-0.00731,-0.10552,0.06078,0.00542,0.01268,-0.03491,0.03485,-0.05101,0.05135,-0.05166,0.02789,0.08461,-0.16561,0.17144,0.10389,-0.01777,0.0029,0.09958,-0.15983,0.12492,0.21382,0.10617,0.17401,-0.1558,0.15803,0.05241,0.11836
Apigenin,0.07799,0.17842,0.03991,0.02515,0.03364,-0.03725,0.08602,0.01789,0.06432,-0.00544,0.07502,0.0299,0.00438,-0.00959,0.00935,0.18956,0.12594,-0.00813,0.01557,0.20976,0.05513,-0.11435,-0.00527,0.15455,-0.01108,-0.04077,0.0593,0.02203
"3,4-Dihydroxyphenylpropionic acid",-0.04174,-0.02722,-0.14112,-0.055,0.0379,-0.03689,-0.08429,0.04436,-0.0606,-0.04663,0.01204,0.02439,0.01733,0.01748,-0.00962,0.08273,0.11623,0.023,-0.00463,-0.18975,0.01681,0.42982,-0.11329,0.07507,0.02262,0.04899,0.06143,0.0129
"3,5-Dihydroxyphenylpropionic acid",-0.02526,-0.02224,-0.02297,0.01074,0.10967,-0.02023,-0.08877,-0.01214,-0.0535,0.04858,-0.04769,0.12707,0.06049,-0.11672,-0.01248,-0.00637,0.00248,0.01946,0.01568,-0.20107,0.13485,0.28914,0.25739,0.22283,-0.10336,0.11967,0.06379,0.34516
Epigallocatechin,0.07515,0.10917,-0.08786,-0.02025,0.08828,0.01655,0.02096,0.1051,0.02633,-0.0335,0.04775,-0.07518,-0.01839,0.09172,-0.02341,0.48256,0.13174,-0.025,-0.03616,0.03661,0.11298,0.0177,0.15279,-0.04906,0.0263,0.00564,0.02147,0.05946
Gallocatechin,-0.02621,0.03309,0.05372,0.10172,0.10535,0.02897,-0.00189,0,0.01017,-0.02613,0.01388,0.00119,-0.0126,-0.01203,0.06142,0.02566,0.02689,0.04126,-0.02881,-0.0037,0.04188,0.00101,0.27564,0.13553,-0.05606,0.12724,0.05847,0.11679
3-Hydroxybenzoic acid,-0.14613,-0.08382,-0.06649,0.00369,0.13029,0.03176,-0.14282,-0.00439,-0.07346,-0.05264,-0.10444,-0.0496,-0.02057,0.0519,-0.00377,0.01822,0.04841,0.11067,0.04737,-0.2479,0.04746,0.35869,0.16514,0.10112,0.06538,0.22168,0.04075,0.00727
4-Hydroxybenzoic acid,-0.02646,-0.07395,0.13216,0.02097,0.03698,0.01954,-0.06979,0.00939,-0.04094,0.03126,-0.05994,-0.00867,-0.0012,0.0454,0.00271,0.21382,0.04962,0.01299,0.05425,-0.12084,0.06243,0.18811,0.03784,0.07972,0.03938,0.08753,0.1037,-0.02678
Tyrosol,0.20773,0.11893,0.08497,-0.03158,-0.04237,0.11831,0.02337,0.07558,0.05455,0.00238,0.14292,0.00573,-0.12678,0.54068,-0.01612,0.08214,0.02672,-0.06387,0.01266,0.25762,0.02955,-0.15387,-0.00707,-0.18814,0.37785,0.26022,0.0926,-0.08348
3-Hydroxyphenylacetic acid,-0.05839,0.06729,0.1112,0.04937,0.00449,0.11566,-0.01387,-0.04642,-0.05381,-0.26014,0.05048,-0.05045,0.09965,0.1026,-0.02608,0.06201,0.06865,0.00152,0.00228,0.00856,0.04307,0.04969,0.02403,-0.02414,0.07341,-0.02979,-0.01298,-0.11728
4-Hydroxyphenylacetic acid,0.11375,-0.04311,-0.06878,-0.10907,-0.00752,0.0645,-0.07866,0.0501,0.00671,0.04452,-0.01711,0.03106,0.04202,0.25837,-0.06327,0.0871,0.02137,-0.04029,0.04189,-0.0946,0.11685,0.11024,0.01379,-0.06129,0.19235,0.32304,0.09169,0.04934
m-Coumaric acid,-0.12413,-0.06878,-0.12746,-0.03112,0.08982,0.02248,-0.10019,0.06504,-0.10496,0.02033,-0.08268,0.04209,-0.00692,0.10066,0.00459,0.04616,0.01328,0.02259,0.03792,-0.24432,0.05419,0.48235,0.0047,0.08643,0.12147,0.22932,0.02813,0.08237
p-Coumaric acid,0.01332,0.0244,0.05805,0.03593,-0.02367,0.05996,-0.00622,0.08742,-0.03572,0.07493,0.07331,0.02583,-0.05052,0.31012,-0.03248,0.08875,0.13887,-0.04502,0.1958,-0.11439,0.02483,0.14192,0.11737,0.04341,0.2598,0.04209,0.09714,0.01363
Vanillic acid,-0.05728,-0.03006,-0.11174,-0.02191,0.04847,-0.01454,-0.04417,-0.0236,0.01133,-0.00636,-0.03728,0.03473,0.11482,0.04131,0.00542,0.04081,0.03763,0.02439,0.00174,-0.19118,0.09434,0.28201,-0.00868,0.13072,0.06179,0.10014,0.03373,-0.06485
Naringenin,0.13168,0.08943,-0.02611,-0.07088,0.05753,-0.0692,0.06369,0.07937,0.01749,-0.00232,0.07791,-0.03614,0.00188,-0.00232,-0.03266,0.51785,0.08665,-0.01407,-0.00635,0.03717,0.21581,-0.0523,-0.01304,-0.00167,-0.0147,-0.02315,0.03191,0.01793
