,uPPc_1,uPPc_2,uPPc_3,uPPc_4,uPPc_5,uPPc_6,uPPc_7,uPPc_8,uPPc_9,uPPc_10,uPPc_11,uPPc_12,uPPc_13,uPPc_14,uPPc_15,uPPc_16,uPPc_17,uPPc_18,uPPc_19,uPPc_20,uPPc_21,uPPc_22,uPPc_23,uPPc_24,uPPc_25,uPPc_26,uPPc_27,uPPc_28,uPPc_29,uPPc_33,uPPc_34,uPPc_35,uPPc_36,uPPc_37,uPPc_38,uPPc_39
PP_001,0.2089,-0.17801,0.24553,-0.04331,0.29718,-0.1289,-0.00291,0.20766,-0.00973,-0.04115,0.20754,0.16975,-0.18599,0.11,0.0566,0.20534,0.11813,0.09506,-0.0086,0.05424,0.07653,0.20932,0.16755,-0.01428,0.02471,-0.03346,0.11867,0.11624,0.08629,0.11663,0.14472,0.23228,0.23013,0.16333,0.18111,-0.00623
PP_002,-0.04138,-0.10617,-0.11179,0.13567,0.23678,-0.14954,-0.24211,-0.09837,-0.07138,-0.19846,-0.08567,0.08197,-0.11356,-0.03059,0.07746,-0.2251,-0.04398,0.08962,0.10202,-0.06123,0.06702,0.06149,-0.05843,0.09497,0.09159,-0.17849,-0.05419,-0.1619,-0.14586,-0.15459,0.15504,0.17045,0.05406,0.14513,-0.24942,-0.39987
PP_012,-0.00681,0.06898,0.04741,0.14679,0.14274,-0.00362,-0.22531,-0.01294,-0.03863,0.05864,0.00817,0.00972,-0.07935,0.06911,-0.0761,-0.14761,0.04047,0.00599,0.02839,-0.00147,0.17431,0.15515,0.10224,0.01673,0.15692,0.10544,-0.15612,0.05573,0.03576,-0.0893,0.18294,0.04472,0.08994,0.1062,-0.09467,0.0393
PP_013,0.15792,0.43785,-0.0839,0.20274,-0.06194,0.01138,0.01593,-0.06326,0.12107,-0.01213,0.15449,0.11656,0.42072,0.19287,0.243,0.10741,0.32232,0.00848,0.04407,0.03058,0.09372,0.22852,0.34826,0.04753,0.13954,0.09551,0.06427,0.5567,0.15928,0.08811,0.06747,-0.0038,-0.00006,-0.04391,0.4248,0.5235
PP_014,0.15131,-0.00964,0.29386,0.16954,0.28294,-0.00347,0.05465,0.30646,0.15516,0.03639,0.17259,0.15935,-0.11638,-0.03147,0.01741,0.12611,0.00922,0.32322,0.15932,0.21797,0.16888,0.0571,-0.00393,0.22531,0.16504,-0.01132,0.17679,-0.0316,0.11137,0.14014,0.16541,0.20759,0.19341,0.15612,-0.05185,-0.16485
PP_015,0.00992,0.13118,0.07946,0.18971,0.13452,0.02902,-0.17258,0.01523,-0.01587,0.10334,0.03604,-0.0026,-0.0493,0.08671,-0.08961,-0.13949,0.0565,-0.02798,0.00525,0.02143,0.17336,0.18758,0.13948,-0.00334,0.17668,0.15715,-0.16954,0.10142,0.07531,-0.05242,0.19411,0.05015,0.11851,0.12735,-0.04491,0.11535
PP_018,-0.10356,0.4022,-0.25832,0.32695,-0.2104,0.11169,-0.14351,-0.28073,0.06108,-0.00342,-0.12831,-0.0215,0.28131,0.09969,0.03548,-0.23644,0.11693,-0.10742,0.0605,-0.08772,0.06638,0.05043,0.15454,0.0335,0.21377,0.01457,-0.2006,0.21211,0.00178,-0.10997,0.07284,-0.148,-0.16222,-0.07046,0.07403,0.29733
PP_020,0.15995,-0.33125,0.24714,-0.11484,0.23106,-0.12162,0.0748,0.24496,-0.01804,-0.03964,0.16406,0.09213,-0.34409,-0.03689,-0.04073,0.16788,0.01639,0.07572,-0.00669,0.08232,0.04037,0.06474,-0.02466,-0.02261,-0.08539,-0.05249,0.1599,-0.08841,0.01228,0.1289,-0.01329,0.2068,0.2147,0.1547,-0.00291,-0.23078
PP_021,0.20347,-0.17071,0.24156,-0.03755,0.2914,-0.12278,0.00027,0.20522,-0.00346,-0.05086,0.20029,0.16946,-0.17821,0.09726,0.05766,0.20347,0.11291,0.1008,-0.00043,0.05204,0.0746,0.19995,0.16027,0.00146,0.02652,-0.04251,0.12249,0.1153,0.08243,0.11655,0.15048,0.22905,0.21829,0.15674,0.17415,-0.00619
PP_022,0.13023,0.08173,0.14196,0.25189,0.07027,0.01918,0.00025,0.11935,0.09122,-0.01565,0.10572,0.08765,-0.06066,0.20364,-0.00229,0.0551,0.10039,0.11054,0.05425,0.1532,0.04097,0.08829,-0.00041,0.08902,0.20024,-0.00706,0.10366,0.00672,0.01689,0.01123,0.05915,0.02899,0.1327,0.194,-0.07184,-0.02584
PP_024,0.06448,0.10427,0.04905,0.18604,-0.00245,-0.00209,-0.02627,0.02222,0.08007,-0.03106,0.07561,0.06886,-0.01873,0.26413,-0.01475,-0.01034,0.08755,0.0177,-0.00162,0.14417,0.00667,0.09422,0.03547,0.029,0.17311,-0.00753,0.0189,0.03628,-0.00605,-0.06427,-0.01466,-0.00053,0.11444,0.20143,-0.06156,0.02707
PP_025,0.2125,-0.10441,0.21034,0.03871,0.15536,-0.10851,0.00391,0.14816,0.00336,-0.03518,0.15973,0.13884,-0.17872,0.12866,0.03757,0.08235,0.14425,0.01287,0.02751,0.0869,0.08031,0.18305,0.14003,-0.00979,0.07441,-0.00101,0.10288,0.14136,0.08398,0.12735,0.08226,0.12262,0.19329,0.10837,0.17812,0.02255
PP_026,0.34682,-0.24724,0.39833,-0.03066,0.40675,-0.10843,0.17365,0.38392,0.02238,0.10792,0.34549,0.20639,-0.24745,0.11591,0.10261,0.33857,0.13894,0.18811,-0.01482,0.15796,0.11357,0.28189,0.16626,-0.0339,0.06223,0.04318,0.27533,0.07186,0.18483,0.26634,0.14877,0.36104,0.30478,0.21184,0.1819,-0.1017
