,uPPc_1,uPPc_2,uPPc_3,uPPc_4,uPPc_5,uPPc_6,uPPc_7,uPPc_8,uPPc_9,uPPc_10,uPPc_11,uPPc_12,uPPc_13,uPPc_14,uPPc_15,uPPc_16,uPPc_17,uPPc_18,uPPc_19,uPPc_20,uPPc_21,uPPc_22,uPPc_23,uPPc_24,uPPc_25,uPPc_26,uPPc_27,uPPc_28,uPPc_29,uPPc_33,uPPc_34,uPPc_35,uPPc_36,uPPc_37,uPPc_38,uPPc_39
Cyanidin,0.16423,-0.17306,0.20064,-0.03335,0.14109,-0.11397,-0.01716,0.14373,-0.02902,-0.03484,0.12357,0.09762,-0.24153,0.11249,-0.02382,0.05042,0.08713,-0.0285,0.00602,0.0656,0.059,0.13486,0.0802,-0.04726,0.01753,-0.01264,0.05785,0.0599,0.05697,0.08659,0.03018,0.0964,0.19898,0.11528,0.09628,-0.04968
Delphinidin,0.3098,-0.01197,0.2587,0.06296,0.18495,-0.09256,0.13454,0.27254,0.04388,-0.02721,0.25195,0.17228,-0.03724,0.02134,0.17505,0.26593,0.23014,0.19313,0.01728,0.12679,0.05974,0.23681,0.22985,0.03025,0.03912,0.01569,0.25197,0.28293,0.12976,0.24432,0.05515,0.21044,0.18414,0.09853,0.33624,0.13485
Malvidin,0.0959,0.40513,-0.17746,0.18233,-0.12669,0.01627,-0.00199,-0.15793,0.10225,-0.01935,0.09255,0.06139,0.39974,0.12718,0.1967,0.05668,0.30518,-0.01763,0.064,-0.02204,0.08235,0.14659,0.2847,0.06655,0.12601,0.06264,0.02683,0.51199,0.0996,0.04794,0.00771,-0.07873,-0.00583,-0.00953,0.36504,0.4917
Pelargonidin,0.20998,-0.18438,0.24856,-0.03319,0.2964,-0.12222,0.00066,0.21311,0.00397,-0.06101,0.20021,0.1781,-0.19182,0.09398,0.04888,0.19958,0.12028,0.09827,0.00668,0.05759,0.08063,0.20698,0.15706,0.0038,0.03417,-0.03537,0.13284,0.106,0.09107,0.12074,0.13685,0.2243,0.21894,0.14634,0.16472,-0.02486
Peonidin,0.16533,0.28958,-0.07967,0.17697,-0.06388,-0.04246,0.00337,-0.09655,0.11443,-0.04311,0.13754,0.12068,0.23781,0.13289,0.18072,0.05315,0.30152,-0.01036,0.09932,0.03231,0.11542,0.19642,0.28691,0.08912,0.14604,0.05624,0.07637,0.48805,0.12845,0.09974,0.06425,-0.02813,0.02335,-0.00909,0.36929,0.42014
Petunidin,0.18589,0.34864,-0.02384,0.17954,-0.03963,-0.00932,0.04535,-0.01079,0.10533,-0.0283,0.14954,0.11536,0.32732,0.1136,0.23671,0.12634,0.3354,0.05242,0.06449,0.03833,0.08052,0.21147,0.32784,0.07322,0.12067,0.07658,0.10902,0.52984,0.13399,0.13115,0.05974,-0.00036,0.05163,0.0203,0.3884,0.45984
PigmentA_agly,0.10873,0.43517,-0.07666,0.18358,-0.09657,0.0188,0.01467,-0.05012,0.09367,-0.02766,0.09882,0.08845,0.44008,0.13817,0.26652,0.08833,0.30935,-0.00596,0.04763,-0.00335,0.04561,0.16134,0.33178,0.05608,0.1117,0.07229,0.04844,0.54337,0.12039,0.087,0.05408,-0.03547,0.0345,-0.00487,0.40756,0.52927
PinotinA_agly,0.10828,0.43529,-0.07634,0.18351,-0.09646,0.01926,0.015,-0.04997,0.09429,-0.0277,0.09852,0.08794,0.44062,0.1382,0.26628,0.08774,0.30914,-0.0059,0.04821,-0.00365,0.04613,0.16086,0.33158,0.05662,0.1114,0.07279,0.04807,0.54338,0.12071,0.087,0.05423,-0.03623,0.03528,-0.00414,0.40762,0.52917
VitisinA_agly,0.10842,0.43524,-0.07636,0.18352,-0.09615,0.01926,0.01491,-0.04997,0.09474,-0.02782,0.09869,0.08835,0.44083,0.13791,0.26638,0.08802,0.30947,-0.00556,0.0484,-0.00336,0.0464,0.16107,0.33177,0.05692,0.11136,0.07285,0.04826,0.54358,0.12086,0.08708,0.05417,-0.03605,0.0354,-0.00407,0.40737,0.52933
Xanthohumol,0.19269,0.10046,0.14946,0.09758,0.10124,-0.04975,0.10609,0.18742,0.05516,-0.03748,0.11388,0.1632,0.23354,0.04048,0.31011,0.17351,0.19035,0.18405,0.06293,0.0601,0.05107,0.08913,0.16251,0.0638,0.12439,-0.0288,0.22857,0.16649,0.08178,0.16901,0.07568,0.07278,0.09045,0.0034,0.16349,0.0924
