Compound,Type
(-)-Epicatechin,Metabolite
(-)-Epicatechin 3-O-gallate,Metabolite
(-)-Epigallocatechin,Metabolite
(-)-Epigallocatechin 3-O-gallate,Metabolite
(+)-Catechin,Metabolite
"1,3,5-Trimethoxybenzene",Metabolite
"1,5-Dicaffeoylquinic acid",Metabolite
1-Caffeoyl-5-feruloylquinic acid,Metabolite
1-Feruloyl-5-caffeoylquinic acid,Metabolite
"2,4-Dihydroxybenzoic acid",Metabolite
2-Hydroxy-2-phenylacetic acid,Metabolite
2-Hydroxyhippuric acid,Metabolite
2-Hydroxyphenylacetic acid,Metabolite
"3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid",Metabolite
"3,4,5,4'-Tetramethoxystilbene",Metabolite
"3,4-Dihydroxyphenylacetic acid",Metabolite
"3,4-Dihydroxyphenyllactic acid methyl ester",Metabolite
"3,5-Dihydroxybenzoic acid",Metabolite
"3'-Hydroxy-3,4,5,4'-tetramethoxystilbene",Metabolite
3-Hydroxybenzoic acid,Metabolite
3'-Hydroxydaidzein,Metabolite
3-Hydroxyhippuric acid,Metabolite
3-Hydroxyphenylacetic acid,Metabolite
3-Hydroxyphenylpropionic acid,Metabolite
3-Hydroxyphenylvaleric acid,Metabolite
3-Methoxy-4-hydroxyphenyllactic acid,Metabolite
3'-O-Methyl-(-)-epicatechin 7-O-glucuronide,Metabolite
3'-O-Methylcatechin,Metabolite
3'-O-Methylepicatechin,Metabolite
3-O-Methylgallic acid,Metabolite
3-O-Methylrosmarinic acid,Metabolite
3-Phenylpropionic acid,Metabolite
"4',4""-O-Dimethylepigallocatechin 3-O-gallate",Metabolite
4-Ethylbenzoic acid,Metabolite
4-Ethylphenol,Metabolite
"4'-Hydroxy-3,4,5-trimethoxystilbene",Metabolite
"4-Hydroxy-3,5,4'-trimethoxystilbene",Metabolite
4-Hydroxybenzoic acid,Metabolite
4-Hydroxyhippuric acid,Metabolite
4-Hydroxyphenyl-2-propionic acid,Metabolite
4-Hydroxyphenylacetic acid,Metabolite
4'-O-Methyl-(-)-epicatechin 3'-O-glucuronide,Metabolite
4'-O-Methylcyanidin 3-O-D-glucoside,Metabolite
4-O-Methyldelphinidin 3-O-D-glucoside,Metabolite
4'-O-Methyldelphinidin 3-O-rutinoside,Metabolite
4'-O-Methylepicatechin,Metabolite
4''-O-Methylepigallocatechin 3-O-gallate,Metabolite
4-O-Methylgallic acid,Metabolite
"5-(3',4',5'-trihydroxyphenyl)-?-valerolactone",Metabolite
"5-(3',4',-dihydroxyphenyl)-?-valerolactone",Metabolite
"5-(3',4'-dihydroxyphenyl)-valeric acid",Metabolite
"5-(3',5'-dihydroxyphenyl)-?-valerolactone",Metabolite
5-(3'-Methoxy-4'-hydroxyphenyl)-?-valerolactone,Metabolite
"5,7-Dihydroxy-8,4'-dimethoxyisoflavone",Metabolite
5-Caffeoylquinic acid,Metabolite
"6,7,4'-Trihydroxyisoflavone",Metabolite
6'-Hydroxy-O-desmethylangolensin,Metabolite
"7,8,4'-Trihydroxyisoflavone",Metabolite
7-Hydroxyenterolactone,Metabolite
7-Hydroxymatairesinol,Metabolite
Benzoic acid,Metabolite
Biochanin A,Metabolite
Caffeic acid,Metabolite
Caffeic acid 3-O-glucuronide,Metabolite
Caffeic acid 4-O-glucuronide,Metabolite
Caffeoyl C1-glucuronide,Metabolite
Cyanidin 3-O-glucoside,Metabolite
Cyclolariciresinol,Metabolite
Daidzein,Metabolite
Danshensu,Metabolite
Delphinidin 3-O-glucoside,Metabolite
Delphinidin 3-O-rutinoside,Metabolite
Dihydrocaffeic acid,Metabolite
Dihydrodaidzein,Metabolite
Dihydroferulic acid,Metabolite
Dihydroferuloylglycine,Metabolite
Dihydrogenistein,Metabolite
Dihydro-p-coumaric acid,Metabolite
Dihydroquercetin,Metabolite
Dihydroresveratrol,Metabolite
Dihydrosinapic acid,Metabolite
Ellagic acid,Metabolite
Enterodiol,Metabolite
Enterolactone,Metabolite
Epicatechin 3'-O-glucuronide,Metabolite
Epicatechin 7-O-glucuronide,Metabolite
Epigallocatechin 3-O-gallate-7-O-glucoside-4''-O-glucuronide,Metabolite
Equol,Metabolite
Eriodictyol,Metabolite
Ferulic acid,Metabolite
Ferulic acid 4-O-glucuronide,Metabolite
Feruloyl C1-glucuronide,Metabolite
Gallagic acid,Metabolite
Gallic acid,Metabolite
Gallic acid ethyl ester,Metabolite
Genistein,Metabolite
Hesperetin,Metabolite
Hesperetin 3'-O-glucuronide,Metabolite
Hesperetin 7-O-glucuronide,Metabolite
Hippuric acid,Metabolite
Homoeriodictyol,Metabolite
Homovanillic acid,Metabolite
Homovanillyl alcohol,Metabolite
Hydroxydanshensu,Metabolite
Hydroxytyrosol,Metabolite
Irisolidone,Metabolite
Irisolidone 7-O-glucuronide,Metabolite
Isoferulic acid,Metabolite
Isoferulic acid 3-O-glucuronide,Metabolite
Isoferuloyl C1-glucuronide,Metabolite
"Isopropyl 3-(3,4-dihydroxyphenyl)-2-hydroxypropanoate",Metabolite
Isorhamnetin,Metabolite
Isosakuranetin,Metabolite
Isotectorigenin,Metabolite
Lariciresinol,Metabolite
Matairesinol,Metabolite
m-Coumaric acid,Metabolite
Methoxyphenylacetic acid,Metabolite
Naringenin,Metabolite
Naringenin 5-O-glucuronide,Metabolite
Naringenin 7-O-glucuronide,Metabolite
Naringin,Metabolite
O-Desmethylangolensin,Metabolite
Oleuropein,Metabolite
p-Coumaric acid,Metabolite
Peonidin 3-O-glucoside,Metabolite
Phenylacetic acid,Metabolite
Procyanidin dimer B2,Metabolite
Protocatechuic acid,Metabolite
Puerarin,Metabolite
Punicalagin,Metabolite
Punicalin,Metabolite
Quercetin,Metabolite
Quercetin 3-O-glucuronide,Metabolite
Resveratrol,Metabolite
"Resveratrol 3,4'-disulfate",Metabolite
"Resveratrol 3,5-disulfate",Metabolite
Resveratrol 3-O-glucuronide,Metabolite
Resveratrol 3-sulfate,Metabolite
Resveratrol 4'-O-glucuronide,Metabolite
Rosmarinic acid,Metabolite
Secoisolariciresinol,Metabolite
Sesaminol,Metabolite
Sesaminol 2-O-triglucoside,Metabolite
Sinapic acid,Metabolite
Syringic acid,Metabolite
Tectoridin,Metabolite
Tectorigenin,Metabolite
Tectorigenin 4'-sulfate,Metabolite
Tectorigenin 7-sulfate,Metabolite
Theaflavin,Metabolite
Tyrosol,Metabolite
Urolithin A,Metabolite
Urolithin C,Metabolite
Vanillic acid,Metabolite
Vanilloylglycine,Metabolite
(-)-Catechin,Precursor
(-)-Epicatechin,Precursor
(-)-Epicatechin 3-O-gallate,Precursor
(-)-Epigallocatechin,Precursor
(-)-Epigallocatechin 3-O-gallate,Precursor
"1,5-Dicaffeoylquinic acid",Precursor
"3,4,5,4'-Tetramethoxystilbene",Precursor
5-Caffeoylquinic acid,Precursor
7-Hydroxymatairesinol,Precursor
Biochanin A,Precursor
Caffeic acid,Precursor
Cyanidin 3-O-glucoside,Precursor
Daidzein,Precursor
Daidzin,Precursor
Danshensu,Precursor
Delphinidin 3-O-glucoside,Precursor
Delphinidin 3-O-rutinoside,Precursor
Dihydrocaffeic acid,Precursor
Dihydroquercetin,Precursor
Enterolactone,Precursor
Eriocitrin,Precursor
Ferulic acid,Precursor
Gallic acid ethyl ester,Precursor
Genistein,Precursor
Hesperidin,Precursor
Isoferulic acid,Precursor
"Isopropyl 3-(3,4-dihydroxyphenyl)-2-hydroxypropanoate",Precursor
Isorhamnetin,Precursor
Kakkalide,Precursor
Lariciresinol,Precursor
Matairesinol,Precursor
Naringenin,Precursor
Naringin,Precursor
Oleuropein,Precursor
Pelargonidin,Precursor
Procyanidin dimer B2,Precursor
Procyanidin dimer B3,Precursor
Procyanidin trimer C2,Precursor
Procyanidins,Precursor
Puerarin,Precursor
Punicalagin,Precursor
Quercetin,Precursor
Quercetin 3-O-glucoside,Precursor
Quercetin 3-O-rutinoside,Precursor
Quercetin 4'-O-glucoside,Precursor
Resveratrol,Precursor
Resveratrol 3-O-glucoside,Precursor
Rosmarinic acid,Precursor
Secoisolariciresinol,Precursor
Secoisolariciresinol di-O-glucoside,Precursor
Sesaminol 2-O-triglucoside,Precursor
Sinapic acid,Precursor
Tectoridin,Precursor
Tectorigenin,Precursor
Theaflavin,Precursor
Urolithin A,Precursor
