bc.no,inter,dose.type,species,species2,cicon,cicon2,identified.as,compound,metab.type,subclass,method,meth.extr,biofluid,hydrolysis.full,hydroylsis,quantified,trace,comments
1461,259,Experimental food,dog,Other,10500503,105005,epicatechin gallate,(-)-Epicatechin 3-O-gallate,Aglycone,Flavanols,78,SPE,plasma,None,no,TRUE,FALSE,
1463,260,Experimental food,dog,Other,10500503,105005,epicatechin gallate,(-)-Epicatechin 3-O-gallate,Aglycone,Flavanols,78,SPE,plasma,None,no,TRUE,FALSE,
1462,259,Experimental food,dog,Other,10500603,105006,epigallocatechin 3-gallate,(-)-Epigallocatechin 3-O-gallate,Aglycone,Flavanols,78,SPE,plasma,None,no,TRUE,FALSE,
1464,260,Experimental food,dog,Other,10500603,105006,epigallocatechin gallate,(-)-Epigallocatechin 3-O-gallate,Aglycone,Flavanols,78,SPE,plasma,None,no,TRUE,FALSE,
815,157,Experimental food,dog,Other,10600103,106001,naringenin,Naringenin,Aglycone,Flavanones,78,SPE,plasma,None,no,TRUE,FALSE,
814,157,Experimental food,dog,Other,10600903,106009,naringin,Naringin,Glycoside,Flavanones,78,SPE,plasma,None,no,TRUE,FALSE,
1852,320,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
1914,319,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1915,319,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1991,334,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1992,334,Experimental food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
2000,335,Food,human,Human,10100803,101008,cyanidin 3-galactoside,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2154,372,Food,human,Human,10100803,101008,cyanidin 3-O-galactose,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2211,853,Experimental food,human,Human,10100803,101008,cyanidin 3-O-galactose,Cyanidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,FALSE,FALSE,
300,97,Food,human,Human,10100903,101009,cyanidin 3-O-glucoside,Cyanidin 3-O-glucoside,Glycoside,Anthocyanins,78,NS,urine,None,no,TRUE,FALSE,% excretion of total anthocyanins
