"compound_id","compound_name","moldb_id","formula","inchikey","inchi","pubchem_compound_id","compound_class_id","compound_class_name","compound_subclass_id","compound_subclass_name","family","aglycone_id","aglycone_name","food_constituent","metabolite","organisms","human","rat","pig","mouse","dog","sheep","rabbit","suvimax_intake_mean"
3,"Malvidin 3-O-(6''-p-coumaroyl-glucoside)",94705,"C32H31O14","InChIKey=HXQOVGDXCHFLOP-UHFFFAOYSA-O","InChI=1S/C32H30O14/c1-41-22-9-16(10-23(42-2)27(22)37)31-24(13-19-20(35)11-18(34)12-21(19)44-31)45-32-30(40)29(39)28(38)25(46-32)14-43-26(36)8-5-15-3-6-17(33)7-4-15/h3-13,25,28-30,32,38-40H,14H2,1-2H3,(H3-,33,34,35,36,37)/p+1",NULL,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",26,"Delphinidin",1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"Cyanidin 3-O-(6''-acetyl-galactoside)",94645,"C23H23O12","InChIKey=HBXXDBKJLPLXPR-DLBZZEGUSA-O","InChI=1S/C23H22O12/c1-9(24)32-8-18-19(29)20(30)21(31)23(35-18)34-17-7-12-14(27)5-11(25)6-16(12)33-22(17)10-2-3-13(26)15(28)4-10/h2-7,18-21,23,29-31H,8H2,1H3,(H3-,25,26,27,28)/p+1/t18-,19+,20+,21-,23-/m1/s1",NULL,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",19,"Cyanidin",1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"Cyanidin 3-O-galactoside",95029,"C21H21O11","InChIKey=RKWHWFONKJEUEF-WVXKDWSHSA-O","InChI=1S/C21H20O11/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26)/p+1/t16-,17+,18+,19-,21-/m1/s1",441699,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",19,"Cyanidin",1,1,"human; pig; rat",1,1,1,NULL,NULL,NULL,NULL,0.54
9,"Cyanidin 3-O-glucoside",95030,"C21H21O11","InChIKey=RKWHWFONKJEUEF-GQUPQBGVSA-O","InChI=1S/C21H20O11/c22-7-16-17(27)18(28)19(29)21(32-16)31-15-6-10-12(25)4-9(23)5-14(10)30-20(15)8-1-2-11(24)13(26)3-8/h1-6,16-19,21-22,27-29H,7H2,(H3-,23,24,25,26)/p+1/t16-,17-,18+,19-,21-/m1/s1",25244576,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",19,"Cyanidin",1,1,"human; mouse; pig; rat",1,1,1,1,NULL,NULL,NULL,2.70
10,"Cyanidin 3-O-rutinoside",95031,"C27H31O15","InChIKey=USNPULRDBDVJAO-FXCAAIILSA-O","InChI=1S/C27H30O15/c1-9-19(32)21(34)23(36)26(39-9)38-8-18-20(33)22(35)24(37)27(42-18)41-17-7-12-14(30)5-11(28)6-16(12)40-25(17)10-2-3-13(29)15(31)4-10/h2-7,9,18-24,26-27,32-37H,8H2,1H3,(H3-,28,29,30,31)/p+1/t9-,18+,19-,20+,21+,22-,23+,24+,26+,27+/m0/s1",441674,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",19,"Cyanidin",1,1,"human; pig; rat",1,1,1,NULL,NULL,NULL,NULL,11.38
11,"Cyanidin 3-O-sophoroside",95032,"C27H31O16","InChIKey=SXYMMDGPXYVCER-WGNLCONDSA-O","InChI=1S/C27H30O16/c28-7-17-19(34)21(36)23(38)26(41-17)43-25-22(37)20(35)18(8-29)42-27(25)40-16-6-11-13(32)4-10(30)5-15(11)39-24(16)9-1-2-12(31)14(33)3-9/h1-6,17-23,25-29,34-38H,7-8H2,(H3-,30,31,32,33)/p+1/t17-,18-,19-,20-,21+,22+,23-,25-,26+,27-/m1/s1",11169452,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",19,"Cyanidin",1,1,"human; rat",1,1,NULL,NULL,NULL,NULL,NULL,0.35
12,"Pelargonidin 3-O-glucoside",95033,"C21H21O10","InChIKey=ABVCUBUIXWJYSE-UNJWAJPSSA-O","InChI=1S/C21H20O10/c22-8-16-17(26)18(27)19(28)21(31-16)30-15-7-12-13(25)5-11(24)6-14(12)29-20(15)9-1-3-10(23)4-2-9/h1-7,16-19,21-22,26-28H,8H2,(H2-,23,24,25)/p+1/t16-,17-,18+,19-,21-/m0/s1",9867509,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",18,"Pelargonidin",1,1,"human; pig",1,NULL,1,NULL,NULL,NULL,NULL,6.14
13,"Cyanidin 3-O-(6''-malonyl-glucoside)",95034,"C24H23O14","InChIKey=ROQLTZUOXIQBDO-JZWLZXDTSA-O","InChI=1S/C24H22O14/c25-10-4-13(27)11-6-16(23(36-15(11)5-10)9-1-2-12(26)14(28)3-9)37-24-22(34)21(33)20(32)17(38-24)8-35-19(31)7-18(29)30/h1-6,17,20-22,24,32-34H,7-8H2,(H4-,25,26,27,28,29,30)/p+1/t17-,20-,21+,22-,24-/m1/s1",443915,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",19,"Cyanidin",1,1,"human; rat",1,1,NULL,NULL,NULL,NULL,NULL,0.00
14,"Peonidin",95035,"C16H13O6","InChIKey=XFDQJKDGGOEYPI-UHFFFAOYSA-O","InChI=1S/C16H12O6/c1-21-15-4-8(2-3-11(15)18)16-13(20)7-10-12(19)5-9(17)6-14(10)22-16/h2-7H,1H3,(H3-,17,18,19,20)/p+1",441773,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",14,"Peonidin",1,1,"human; rat",1,1,NULL,NULL,NULL,NULL,NULL,NULL
15,"Peonidin 3-O-glucoside",95036,"C22H23O11","InChIKey=ZZWPMFROUHHAKY-OUUKCGNVSA-O","InChI=1S/C22H22O11/c1-30-15-4-9(2-3-12(15)25)21-16(7-11-13(26)5-10(24)6-14(11)31-21)32-22-20(29)19(28)18(27)17(8-23)33-22/h2-7,17-20,22-23,27-29H,8H2,1H3,(H2-,24,25,26)/p+1/t17-,18-,19+,20-,22-/m1/s1",443654,1,"Flavonoids",3,"Anthocyanins","Anthocyanins",14,"Peonidin",1,1,"human; pig; rat",1,1,1,NULL,NULL,NULL,NULL,0.00
