cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,subclass.count
10901603,"2',7-Dihydroxy-4',5'-dimethoxyisoflavone",Flavonoids,1,Isoflavonoids,314,314,Aglycone,86
10901703,2-Dehydro-O-desmethylangolensin,Flavonoids,1,Isoflavonoids,256,256,Aglycone,86
10901803,2'-Hydroxyformononetin,Flavonoids,1,Isoflavonoids,284,284,Aglycone,86
10909503,"3',4',5,7-Tetrahydroxyisoflavanone",Flavonoids,1,Isoflavonoids,288,288,Aglycone,86
10901903,"3',4',7-Trihydroxyisoflavan",Flavonoids,1,Isoflavonoids,258,258,Aglycone,86
10902003,"3',4',7-Trihydroxyisoflavanone",Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10902203,3'-Hydroxydaidzein,Flavonoids,1,Isoflavonoids,270,270,Aglycone,86
10910203,3'-Hydroxyequol,Flavonoids,1,Isoflavonoids,258,258,Aglycone,86
10909903,3'-Hydroxygenistein,Flavonoids,1,Isoflavonoids,286,286,Aglycone,86
10911003,3'-Hydroxymelanettin,Flavonoids,1,Isoflavonoids,300,300,Aglycone,86
10902303,3'-Hydroxy-O-desmethylangolensin,Flavonoids,1,Isoflavonoids,274,274,Aglycone,86
10909703,3'-O-Methylequol,Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10911703,3'-O-Methylviolanone,Flavonoids,1,Isoflavonoids,330,330,Aglycone,86
10902403,"4',6,7-Trihydroxyisoflavanone",Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10902603,"4',7-Dihydroxy-3'-methoxyisoflavan",Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10902703,"4',7-Dihydroxy-6-methoxyisoflavan",Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10910403,"4'-Methoxy-2',3,7-trihydroxyisoflavanone",Flavonoids,1,Isoflavonoids,302,302,Aglycone,86
10902903,4'-O-Methylequol,Flavonoids,1,Isoflavonoids,256,256,Aglycone,86
10903003,"5,6,7,3',4'-Pentahydroxyisoflavone",Flavonoids,1,Isoflavonoids,302,302,Aglycone,86
10903103,"5,6,7,4'-Tetrahydroxyisoflavone",Flavonoids,1,Isoflavonoids,286,286,Aglycone,86
10903203,"5,7,8,3',4'-Pentahydroxyisoflavone",Flavonoids,1,Isoflavonoids,302,302,Aglycone,86
10903303,"5,7,8,4'-Tetrahydroxyisoflavone",Flavonoids,1,Isoflavonoids,286,286,Aglycone,86
10908203,"5,7-Dihydroxy-8,4'-dimethoxyisoflavone",Flavonoids,1,Isoflavonoids,314,314,Aglycone,86
10903403,5'-Hydroxy-O-desmethylangolensin,Flavonoids,1,Isoflavonoids,274,274,Aglycone,86
10903503,5'-Methoxy-O-desmethylangolensin,Flavonoids,1,Isoflavonoids,288,288,Aglycone,86
10903603,"6,7,3',4'-Tetrahydroxyisoflavone",Flavonoids,1,Isoflavonoids,286,286,Aglycone,86
10903703,"6,7,4'-Trihydroxyisoflavone",Flavonoids,1,Isoflavonoids,270,270,Aglycone,86
10903803,6'-Hydroxyangolensin,Flavonoids,1,Isoflavonoids,288,288,Aglycone,86
10910103,6-Hydroxydihydrodaidzein,Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10903903,6'-Hydroxy-O-desmethylangolensin,Flavonoids,1,Isoflavonoids,274,274,Aglycone,86
10909803,6-O-Methylequol,Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10904203,"7,8,3',4'-Tetrahydroxyisoflavone",Flavonoids,1,Isoflavonoids,286,286,Aglycone,86
10904303,"7,8,4'-Trihydroxyisoflavone",Flavonoids,1,Isoflavonoids,270,270,Aglycone,86
10911803,8-Hydroxydihydrodaidzein,Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10904403,Angolensin,Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10900403,Biochanin A,Flavonoids,1,Isoflavonoids,284,284,Aglycone,86
10910903,Butin,Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10904503,Calycosin,Flavonoids,1,Isoflavonoids,284,284,Aglycone,86
10910303,cis-4-Hydroxyequol,Flavonoids,1,Isoflavonoids,258,258,Aglycone,86
10900103,Daidzein,Flavonoids,1,Isoflavonoids,254,254,Aglycone,86
10911603,Dalbergin,Flavonoids,1,Isoflavonoids,268,268,Aglycone,86
10905103,Dihydrobiochanin A,Flavonoids,1,Isoflavonoids,286,286,Aglycone,86
10905203,Dihydrodaidzein,Flavonoids,1,Isoflavonoids,256,256,Aglycone,86
10905403,Dihydroformononetin,Flavonoids,1,Isoflavonoids,270,270,Aglycone,86
10905503,Dihydrogenistein,Flavonoids,1,Isoflavonoids,272,272,Aglycone,86
10905603,Dihydroglycitein,Flavonoids,1,Isoflavonoids,286,286,Aglycone,86
10905703,Equol,Flavonoids,1,Isoflavonoids,242,242,Aglycone,86
10900203,Formononetin,Flavonoids,1,Isoflavonoids,268,268,Aglycone,86
