bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,timecourse,timepoint,time.unit,baseline.conc,base.error,conc,point.error,error.measure,source.graphno,metab.graphno,metab.measure
93,32,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng/mL
94,32,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng/mL
97,33,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng/mL
98,33,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng/mL
101,34,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng/mL
102,34,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng/mL
105,35,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng/mL
106,35,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,ng/mL
109,36,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,0.6,hours,0,NA,0.1,NA,NA,NA,NA,µmol/L
109,36,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,1.5,hours,0,NA,1,NA,NA,NA,NA,µmol/L
109,36,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,6,hours,0,NA,0.09,NA,NA,NA,NA,µmol/L
109,36,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,12,hours,0,NA,0.07,NA,NA,NA,NA,µmol/L
109,36,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,24,hours,0,NA,0.01,NA,NA,NA,NA,µmol/L
111,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,1,hours,0,NA,0.5,NA,SEM,NA,3701,µg/dL
111,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,4,hours,0,NA,5,NA,SEM,NA,3701,µg/dL
111,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,6,hours,0,NA,6.5,NA,SEM,NA,3701,µg/dL
111,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,8,hours,0,NA,2,NA,SEM,NA,3701,µg/dL
111,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,10,hours,0,NA,0,NA,SEM,NA,3701,µg/dL
112,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,1,hours,0,NA,0,NA,SEM,NA,3701,µg/dL
112,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,4,hours,0,NA,5,NA,SEM,NA,3701,µg/dL
112,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,6,hours,0,NA,7.7,NA,SEM,NA,3701,µg/dL
112,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,8,hours,0,NA,4,NA,SEM,NA,3701,µg/dL
112,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,10,hours,0,NA,0,NA,SEM,NA,3701,µg/dL
113,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,1,hours,0,NA,29,NA,SEM,NA,3701,µg/dL
113,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,4,hours,0,NA,25,NA,SEM,NA,3701,µg/dL
113,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,6,hours,0,NA,21,NA,SEM,NA,3701,µg/dL
113,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,8,hours,0,NA,10,NA,SEM,NA,3701,µg/dL
113,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,10,hours,0,NA,6,NA,SEM,NA,3701,µg/dL
