Spearman correlations	Non-consumers		Protocatechuic acid	Hydroxytyrosol	"3,5-Dihydroxybenzoic acid"	"3,4-Dihydroxiphenylacetic acid"	Genistein	Apigenin	"3,4-Dihydroxyphenylpropionic acid"	"3,5-Dihydroxyphenylpropionic acid"	Epigallocatechin	Gallocatechin	3-Hydroxybenzoic acid	4-Hydroxybenzoic acid	Tyrosol	3-Hydroxyphenylacetic acid	4-Hydroxyphenylacetic acid	m-Coumaric acid	p-Coumaric acid	Vanillic acid	Naringenin	Phloretin	Kaempferol	Epicatechin	Catechin	Hesperetin	Homovanillic acid	Isorhamnetin	Ferulic acid	Resveratrol	Quercetin	Caffeic acid	Equol	Daidzein	Enterolactone	Enterodiol	Gallic acid	Gallic acid ethyl ester
24-HDR			uPPc_1	uPPc_2	uPPc_3	uPPc_4	uPPc_5	uPPc_6	uPPc_7	uPPc_8	uPPc_9	uPPc_10	uPPc_11	uPPc_12	uPPc_13	uPPc_14	uPPc_15	uPPc_16	uPPc_17	uPPc_18	uPPc_19	uPPc_20	uPPc_21	uPPc_22	uPPc_23	uPPc_24	uPPc_25	uPPc_26	uPPc_27	uPPc_28	uPPc_29	uPPc_33	uPPc_34	uPPc_35	uPPc_36	uPPc_37	uPPc_38	uPPc_39
Cyanidin   	101	Cyanidin	0.17036	0.18514	0.06856	0.20634	0.08225	-0.07573	0.02557	0.07738	0.06271	-0.0534	0.09925	0.16857	0.08318	0.15213	0.05594	0.08437	0.35464	0.09601	-0.05336	0.00918	0.08456	0.16787	0.27507	-0.1126	0.15908	0.11353	0.03495	0.21705	0.08914	0.07486	0.03535	0.07457	0.13534	0.1137	0.17271	0.19591
Delphinidin	215	Delphinidin	0.10361	0.28412	-0.02165	0.11412	-0.04049	-0.0839	-0.00557	-0.04395	0.03574	-0.04696	0.09442	0.04917	0.20795	0.08488	0.18796	0.06795	0.26825	0.03296	-0.00698	-0.00696	0.02394	0.18387	0.29995	0.01325	0.09887	0.06664	0.00284	0.50625	0.135	0.0599	0.01319	-0.03502	0.03677	-0.01429	0.4165	0.53616
Malvidin	228	Malvidin	0.0947	0.44111	-0.10527	0.14787	-0.04724	-0.04034	-0.01925	-0.10651	0.03203	-0.01213	0.09178	0.0721	0.35528	0.06303	0.25476	0.07442	0.28193	-0.00416	0.00617	-0.00587	0.01613	0.15063	0.32505	0.00944	0.10805	0.07259	-0.02354	0.5699	0.16057	0.03513	-0.0514	-0.04911	0.03926	-0.02767	0.43997	0.61047
Pelargonidin   	213	Pelargonidin	0.12821	-0.08401	0.13546	-0.00894	0.12638	-0.13044	0.01885	0.09973	0.01921	-0.04591	0.17196	0.14206	-0.11721	0.11203	-0.00847	0.09812	0.18993	0.09457	-0.08618	-0.0428	0.07486	0.13259	0.23243	-0.13999	0.03211	-0.00089	0.01535	0.07625	0.00031	0.05514	0.05992	0.15941	0.15284	0.17292	0.05529	-0.00747
Peonidin   	267	Peonidin	0.11776	0.32518	-0.0658	0.14485	-0.04941	-0.08224	-0.02939	-0.08682	-0.00868	-0.06825	0.05736	0.12803	0.21682	0.1059	0.13899	0.04699	0.29038	0.01163	-0.03014	-0.06511	0.04248	0.16102	0.33235	-0.03611	0.1324	0.12138	-0.02643	0.50411	0.10354	0.00928	-0.03121	-0.05227	0.01208	0.00152	0.30906	0.5316
Petunidin 	312	Petunidin	0.04784	0.37564	-0.10504	0.13841	-0.10689	-0.04926	-0.05313	-0.105	0.02204	-0.05274	0.04975	0.05271	0.28666	0.10836	0.18397	0.00932	0.25037	-0.01284	-0.01364	-0.02054	0.0187	0.14505	0.29815	0.00816	0.12166	0.05962	-0.06269	0.56906	0.13493	0.00213	-0.04505	-0.09845	0.01803	-0.03283	0.42609	0.6206
Pigment A  	337	PigmentA_agly	0.02343	0.41427	-0.1847	0.13627	-0.13709	-0.02414	-0.05996	-0.16642	0.0328	-0.06499	0.00523	0.03531	0.36211	0.13625	0.20707	-0.01138	0.25624	-0.04576	0.00396	-0.04759	0.0165	0.14678	0.3232	0.02112	0.1018	0.06417	-0.07694	0.57327	0.12136	-0.01101	-0.04456	-0.12658	-0.07098	-0.06679	0.44375	0.68652
Pinotin A  	337	PinotinA_agly	0.02355	0.41435	-0.18463	0.13637	-0.13718	-0.02401	-0.05973	-0.16635	0.03275	-0.06492	0.00532	0.03535	0.36208	0.13656	0.20699	-0.01134	0.25626	-0.04565	0.00401	-0.04747	0.01655	0.14689	0.32328	0.02099	0.10186	0.06424	-0.07692	0.5733	0.12152	-0.01086	-0.04466	-0.12673	-0.07099	-0.06683	0.44377	0.68658
Vitisin A  	337	VitisinA_agly	0.02341	0.41425	-0.18471	0.13629	-0.13709	-0.02412	-0.05989	-0.16643	0.03279	-0.06497	0.00524	0.03528	0.36208	0.13625	0.20707	-0.01138	0.25623	-0.04578	0.00396	-0.04754	0.01648	0.1468	0.32317	0.02111	0.10179	0.06417	-0.07693	0.57325	0.12135	-0.01101	-0.04456	-0.12655	-0.07102	-0.06681	0.44374	0.68651
