method.full,method,food,food2,process,compound,mean.rf,ref
1 - Chromatography,Chrom,"Asparagus, raw",Asparagus,Boiled,Quercetin 3-O-rutinoside,0.560744226,Makris 2001
1 - Chromatography,Chrom,"Buckwheat, grits",Buckwheat,Boiled,Quercetin 3-O-rutinoside,0.169615584,Kreft 2006
2 - Chromatography after hydrolysis,Chrom hydrol,"Carrot, raw",Carrot*,Boiled,Quercetin 3-O-rutinoside,0.326518442,Mazzeo 2011
2 - Chromatography after hydrolysis,Chrom hydrol,"Carrot, raw",Carrot*,Steamed,Quercetin 3-O-rutinoside,0.326518442,Mazzeo 2011
2 - Chromatography after hydrolysis,Chrom hydrol,"Cauliflower, raw",Cauliflower*,Boiled,Quercetin 3-O-rutinoside,0.080247626,Mazzeo 2011
2 - Chromatography after hydrolysis,Chrom hydrol,"Cauliflower, raw",Cauliflower*,Steamed,Quercetin 3-O-rutinoside,0.762352416,Mazzeo 2011
1 - Chromatography,Chrom,"Green bean, raw",Green bean,Boiled,Quercetin 3-O-rutinoside,0.783888122,Andlauer 2003
1 - Chromatography,Chrom,"Green bean, raw",Green bean,Canned,Quercetin 3-O-rutinoside,0.483333322,Price 1998_2
1 - Chromatography,Chrom,"Potato, peeled, raw",Potato (peeled),Boiled,Quercetin 3-O-rutinoside,0.533333349,Tudela 2002
1 - Chromatography,Chrom,"Potato, peeled, raw",Potato (peeled),Fried,Quercetin 3-O-rutinoside,0.44,Tudela 2002
1 - Chromatography,Chrom,"Potato, peeled, raw",Potato (peeled),Microwaved,Quercetin 3-O-rutinoside,0.387500018,Tudela 2002
1 - Chromatography,Chrom,"Potato, peeled, raw",Potato (peeled),Steamed,Quercetin 3-O-rutinoside,0.54444447,Tudela 2002
1 - Chromatography,Chrom,"Tomato, whole, raw",Tomato,Canned,Quercetin 3-O-rutinoside,0.910982132,Vallverdu-queralt 2011_2
1 - Chromatography,Chrom,"Zucchini, raw",Zucchini,Boiled,Quercetin 3-O-rutinoside,0.653673874,Andlauer 2003
