"CLASS","SUBCLASS","FAMILY","DTAGA","CICON"
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500203
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500503
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500403
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500603
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500103
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500303
"Flavonoids","Flavanols","Proanthocyanidin dimers","Procyanidin dimer B2",10503403
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeoyl aspartic acid",30218803
"Flavonoids","Flavones","Flavones","Apigenin",10700103
"Flavonoids","Flavones","Flavones","Luteolin",10700203
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Myricetin",10802203
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3,4-Dicaffeoylquinic acid",30209303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3,5-Dicaffeoylquinic acid",30204203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4,5-Dicaffeoylquinic acid",30210103
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4-Caffeoylquinic acid",30202703
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","4-Feruloylquinic acid",30203703
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","5-Feruloylquinic acid",30203603
"Other polyphenols","Alkylphenols","Alkylphenols","3-Methylcatechol",90201803
"Other polyphenols","Alkylphenols","Alkylphenols","4-Ethylcatechol",90202403
"Other polyphenols","Alkylphenols","Alkylphenols","4-Methylcatechol",90202103
"Other polyphenols","Other polyphenols","Other polyphenols","Catechol",90160103
"Other polyphenols","Other polyphenols","Other polyphenols","Pyrogallol",90160203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3,4-Dicaffeoylquinic acid",30209303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3,5-Dicaffeoylquinic acid",30204203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3-Caffeoylquinic acid",30202503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4,5-Dicaffeoylquinic acid",30210103
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4-Caffeoylquinic acid",30202703
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","4-Feruloylquinic acid",30203703
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","5-Feruloylquinic acid",30203603
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin",10500203
"Flavonoids","Flavanols","Catechins","(-)-Epicatechin 3-O-gallate",10500503
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin",10500403
"Flavonoids","Flavanols","Catechins","(-)-Epigallocatechin 3-O-gallate",10500603
"Flavonoids","Flavanols","Catechins","(+)-Catechin",10500103
"Flavonoids","Flavanols","Catechins","(+)-Gallocatechin",10500303
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","4-Hydroxybenzoic acid",30100903
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gallic acid",30100303
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100203
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102003
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100403
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3,4-Dicaffeoylquinic acid",30209303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3,5-Dicaffeoylquinic acid",30204203
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","3-Caffeoylquinic acid",30202503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4,5-Dicaffeoylquinic acid",30210103
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","4-Caffeoylquinic acid",30202703
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Caffeic acid",30200503
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","Cinnamic acid",30218003
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","p-Coumaric acid",30200103
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","3-Feruloylquinic acid",30203803
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","4-Feruloylquinic acid",30203703
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","5-Feruloylquinic acid",30203603
"Phenolic acids","Hydroxycinnamic acids","Methoxycinnamic acids","Ferulic acid",30200803
"Other polyphenols","Alkylmethoxyphenols","Alkylmethoxyphenols","4-Ethylguaiacol",90101003
"Other polyphenols","Alkylmethoxyphenols","Alkylmethoxyphenols","4-Vinylguaiacol",90100903
"Other polyphenols","Alkylphenols","Alkylphenols","3-Methylcatechol",90201803
"Other polyphenols","Alkylphenols","Alkylphenols","4-Ethylcatechol",90202403
"Other polyphenols","Alkylphenols","Alkylphenols","4-Methylcatechol",90202103
"Other polyphenols","Methoxyphenols","Methoxyphenols","Guaiacol",90140603
"Other polyphenols","Other polyphenols","Other polyphenols","Catechol",90160103
"Other polyphenols","Other polyphenols","Other polyphenols","Phenol",90160803
"Other polyphenols","Other polyphenols","Other polyphenols","Pyrogallol",90160203
"Flavonoids","Flavones","Flavones","Apigenin",10700103
"Flavonoids","Flavones","Flavones","Luteolin",10700203
"Flavonoids","Flavonols","Flavonols","Kaempferol",10800103
"Flavonoids","Flavonols","Flavonols","Myricetin",10802203
"Flavonoids","Flavonols","Flavonols","Quercetin",10800203
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","4-Hydroxybenzoic acid",30100903
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Gallic acid",30100303
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acids","Protocatechuic acid",30100203
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Syringic acid",30102003
"Phenolic acids","Hydroxybenzoic acids","Methoxybenzoic acids","Vanillic acid",30100403
"Phenolic acids","Hydroxybenzoic acids","Hydroxybenzoic acid dimers","Ellagic acid",30100803
"Phenolic acids","Hydroxycinnamic acids","Hydroxycinnamic acids","5-Caffeoylquinic acid",30203303
