CLASS,SUBCLASS,FAMILY,DTAGA,CICON,CICON2
Flavonoids,Flavanols,Catechins,(-)-Epicatechin,10500203,105002
Flavonoids,Flavanols,Catechins,(-)-Epicatechin 3-O-gallate,10500503,105005
Flavonoids,Flavanols,Catechins,(-)-Epigallocatechin,10500403,105004
Flavonoids,Flavanols,Catechins,(-)-Epigallocatechin 3-O-gallate,10500603,105006
Flavonoids,Flavanols,Catechins,(+)-Catechin,10500103,105001
Flavonoids,Flavanols,Catechins,(+)-Gallocatechin,10500303,105003
Flavonoids,Flavanols,Proanthocyanidin dimers,Procyanidin dimer B2,10503403,105034
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeoyl aspartic acid,30218803,302188
Flavonoids,Flavones,Flavones,Apigenin,10700103,107001
Flavonoids,Flavones,Flavones,Luteolin,10700203,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800103,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802203,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800203,108002
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,"3,4-Dicaffeoylquinic acid",30209303,302093
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,"3,5-Dicaffeoylquinic acid",30204203,302042
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,"4,5-Dicaffeoylquinic acid",30210103,302101
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,4-Caffeoylquinic acid,30202703,302027
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203303,302033
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,4-Feruloylquinic acid,30203703,302037
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,5-Feruloylquinic acid,30203603,302036
Other polyphenols,Alkylphenols,Alkylphenols,3-Methylcatechol,90201803,902018
Other polyphenols,Alkylphenols,Alkylphenols,4-Ethylcatechol,90202403,902024
Other polyphenols,Alkylphenols,Alkylphenols,4-Methylcatechol,90202103,902021
Other polyphenols,Other polyphenols,Other polyphenols,Catechol,90160103,901601
Other polyphenols,Other polyphenols,Other polyphenols,Pyrogallol,90160203,901602
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,"3,4-Dicaffeoylquinic acid",30209303,302093
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,"3,5-Dicaffeoylquinic acid",30204203,302042
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,3-Caffeoylquinic acid,30202503,302025
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,"4,5-Dicaffeoylquinic acid",30210103,302101
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,4-Caffeoylquinic acid,30202703,302027
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203303,302033
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,4-Feruloylquinic acid,30203703,302037
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,5-Feruloylquinic acid,30203603,302036
Flavonoids,Flavanols,Catechins,(-)-Epicatechin,10500203,105002
Flavonoids,Flavanols,Catechins,(-)-Epicatechin 3-O-gallate,10500503,105005
Flavonoids,Flavanols,Catechins,(-)-Epigallocatechin,10500403,105004
Flavonoids,Flavanols,Catechins,(-)-Epigallocatechin 3-O-gallate,10500603,105006
Flavonoids,Flavanols,Catechins,(+)-Catechin,10500103,105001
Flavonoids,Flavanols,Catechins,(+)-Gallocatechin,10500303,105003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100903,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100303,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Protocatechuic acid,30100203,301002
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102003,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100403,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,"3,4-Dicaffeoylquinic acid",30209303,302093
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,"3,5-Dicaffeoylquinic acid",30204203,302042
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,3-Caffeoylquinic acid,30202503,302025
