dose.cmpd,metab
(-)-Catechin,(+)-Catechin
(-)-Catechin,"3,4-Dihydroxyphenylacetic acid"
(-)-Catechin,3-Hydroxybenzoic acid
(-)-Catechin,3-Hydroxyhippuric acid
(-)-Catechin,3-Hydroxyphenylacetic acid
(-)-Catechin,3-Hydroxyphenylpropionic acid
(-)-Catechin,3-Hydroxyphenylvaleric acid
(-)-Catechin,3'-O-Methylcatechin
(-)-Catechin,4-Hydroxybenzoic acid
(-)-Catechin,4-Hydroxyhippuric acid
(-)-Catechin,"5-(3',4',-dihydroxyphenyl)-?-valerolactone"
(-)-Catechin,"5-(3',4'-dihydroxyphenyl)-valeric acid"
(-)-Catechin,5-(3'-Methoxy-4'-hydroxyphenyl)-?-valerolactone
(-)-Catechin,Dihydrocaffeic acid
(-)-Catechin,Ferulic acid
(-)-Catechin,Hippuric acid
(-)-Catechin,m-Coumaric acid
(-)-Catechin,p-Coumaric acid
(-)-Catechin,Phenylacetic acid
(-)-Catechin,Protocatechuic acid
(-)-Catechin,Vanillic acid
(-)-Epicatechin,"1,3,5-Trimethoxybenzene"
(-)-Epicatechin,3'-O-Methyl-(-)-epicatechin 7-O-glucuronide
(-)-Epicatechin,3'-O-Methylepicatechin
(-)-Epicatechin,3-O-Methylgallic acid
(-)-Epicatechin,3-Phenylpropionic acid
(-)-Epicatechin,4-Ethylbenzoic acid
(-)-Epicatechin,4-Ethylphenol
(-)-Epicatechin,4'-O-Methyl-(-)-epicatechin 3'-O-glucuronide
(-)-Epicatechin,4'-O-Methylepicatechin
(-)-Epicatechin,4-O-Methylgallic acid
(-)-Epicatechin,"5-(3',4',-dihydroxyphenyl)-?-valerolactone"
(-)-Epicatechin,Benzoic acid
(-)-Epicatechin,Dihydrocaffeic acid
(-)-Epicatechin,Dihydro-p-coumaric acid
(-)-Epicatechin,Epicatechin 3'-O-glucuronide
(-)-Epicatechin,Epicatechin 7-O-glucuronide
(-)-Epicatechin,Ferulic acid
