bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,urinary.ex,ue.error,error.measure,ue.period
95,32,human,60101703,Resveratrol,Stilbenes,228,None,0.04,NA,NA,24
96,32,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,11.5,NA,NA,24
99,33,human,60101703,Resveratrol,Stilbenes,228,None,0.04,NA,NA,24
100,33,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,7.5,NA,NA,24
103,34,human,60101703,Resveratrol,Stilbenes,228,None,0.04,NA,NA,24
104,34,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,5.5,NA,NA,24
107,35,human,60101703,Resveratrol,Stilbenes,228,None,0.04,NA,NA,24
108,35,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,5,NA,NA,24
121,38,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,52,NA,NA,24
122,39,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,34,NA,NA,24
123,40,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,26,NA,NA,24
135,45,human,10800203,Quercetin,Flavonols,302,?-glucuronidase and sulfatase,7.6,NA,NA,24
155,51,human,60101703,Resveratrol,Stilbenes,228,None,70.5,4.3,NA,NA
169,61,rat,60100103,Trans-Resveratrol,Stilbenes,228,None,0.59,NA,NA,24
230,81,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,21,11,NA,NA
232,81,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,29,27,NA,NA
238,82,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,28,21,NA,NA
240,82,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,64,36,NA,NA
242,83,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,21,6,NA,NA
244,83,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,35,19,NA,NA
246,84,human,90180103,Tyrosol,Tyrosols,138,?-glucuronidase,24,14,NA,NA
248,84,human,90180203,Hydroxytyrosol,Tyrosols,154,?-glucuronidase,40,21,NA,NA
263,92,rat,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,0.4,0.04,SEM,24
264,92,rat,10101003,Cyanidin 3-O-rutinoside,Anthocyanins,595,None,0.54,0.08,SEM,24
267,92,rat,10101103,Cyanidin 3-O-sophoroside,Anthocyanins,611,None,1.17,0.16,SEM,24
270,92,rat,10102603,Pelargonidin 3-O-glucosyl-rutinoside,Anthocyanins,741,None,1.25,0.22,SEM,24
271,92,rat,10106503,Cyanidin 3-O-xylosyl-rutinoside,Anthocyanins,727,None,0.36,0.14,SEM,24
274,92,rat,10102503,Pelargonidin 3-O-sophoroside,Anthocyanins,579,None,0.74,0.7,SEM,24
