dose.cicon,metab.cicon
10100903,10100903
10100903,10100903
10100903,10100903
10100903,10100903
10100903,10100903
10100903,10101803
10100903,10101803
10100903,10115903
10100903,10115903
10100903,30100203
10102103,30100903
10102103,30100903
10103103,10103103
10103103,10116503
10105203,10105203
10105203,10105203
10105203,10117603
10105203,10117603
10400203,10400203
10400203,10400203
10400203,10400203
10500203,10500203
10500203,10511203
10500203,10511303
10500203,10511303
10500203,10511403
10500203,10511403
70101203,70103803
70101203,70103903
70101203,70100103
30228503,30103803
30228503,30306803
30228503,30112803
30228503,30306103
30228503,30304803
30228503,30304803
30228503,30107803
30228503,30103603
30228503,30103603
30228503,30112703
30228503,30306003
30228503,30306003
30228503,30506603
30228503,30506603
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
30228503,30100903
30228503,30100903
30228503,30112603
10500203,10511203
10500203,10511203
10500203,10511203
10500203,10511203
10500203,10511203
10500203,10511203
10500203,10511203
10500203,10511203
30228503,30305003
30228503,30203303
30228503,30203303
10500203,10513003
10500203,10513003
10500203,10513103
10500203,10513103
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
10500203,10500203
30228503,30103403
30228503,30200503
30228503,30200503
30228503,30506303
30228503,30506303
10500203,10511203
10500203,10511203
10500203,10511203
10500203,10511203
10500203,10511203
30228503,30200803
30228503,30200803
30228503,30200803
30228503,30112903
30228503,30112903
10500203,10512103
10500203,10512103
10500203,10512103
30228503,30112903
30228503,30305203
30228503,30204303
30228503,30204303
30228503,30204303
30228503,30201303
30228503,30201303
10500503,30201303
10500503,30506603
10500503,30506603
30228503,30201303
30228503,30200103
30228503,30200103
30228503,30306603
30228503,30100203
30228503,30102003
30228503,30100403
70102203,70106203
70102203,70106203
70102203,70102203
70102203,70102503
70102203,70102503
70102203,70103803
70102203,70103803
70102203,70103803
70102203,70103903
70102203,70103903
70102203,70103903
70102203,70100303
70102203,70100303
70102203,70100203
70102203,70100203
70102203,70100103
70102203,70100103
10900403,10900403
10900403,10900403
30200503,30304803
30200503,30103603
30200503,30112703
30200503,30306003
30200503,30506603
30200503,30506603
30200503,30100903
30200503,30112603
30200503,30200503
30200503,30200503
10500603,10512203
30200503,30506303
30200503,30200803
30200503,30200803
30200503,30112903
30200503,30112903
30200503,30201303
30200503,30200103
10501703,10500103
10501703,10500103
10501703,10500103
10501703,10500103
10501703,10500103
10501703,10500103
10501703,10500103
10501703,10500103
10501703,30304803
10501703,30304803
10501703,30103603
10501703,30103603
10501703,10511603
10501703,10511603
10501703,30112703
10501703,30112703
10501703,30306003
10501703,30306003
10501703,30506603
10501703,30506603
10501703,30601003
10501703,30601003
