method.full,method,analysis.type,food.group.full,food.group,food.subgroup,food,food.class,process.full,process,top.process,process.type,process.grouped,compound.class,compound.subclass,compound,conjugation,cicon,unit,mean.rf,min.rf,max.rf,sdev.rf,nraw.rf,rf.id
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,3-Caffeoylquinic acid,ester,302025,mg/100 g fresh weight,1.159271967,0.034495481,3.770229759,1.581387119,5,1224
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,4-Caffeoylquinic acid,ester,302027,mg/100 g fresh weight,0.584404125,0.044479329,1.140982347,0.352521973,8,1227
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,ester,302033,mg/100 g fresh weight,0.706964194,0.427750201,1.12216754,0.213174164,8,1230
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,8.134764342,0.100974708,46.14285492,18.62802306,6,1233
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Onion-family vegetables,"Onion [Unknown color], raw",207,Baked,Baked,no,Domestic cooking,Baked,Flavonoids,Flavonols,"Quercetin 3,4'-O-diglucoside",free phenol,108019,mg/100 g fresh weight,0.803557828,0.803557828,0.803557828,,1,1105
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Onion-family vegetables,"Onion [Unknown color], raw",207,Baked,Baked,no,Domestic cooking,Baked,Flavonoids,Flavonols,Quercetin 4'-O-glucoside,glycoside,108067,mg/100 g fresh weight,0.988372058,0.988372058,0.988372058,,1,1107
1 - Chromatography,Chrom.,Defined,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Other polyphenols,Hydroxybenzaldehydes,Vanillin,free phenol,908014,mg/100 g fresh weight,0,0,0,,1,31
1 - Chromatography,Chrom.,Defined,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,Other polyphenols,Hydroxybenzaldehydes,Vanillin,free phenol,908014,mg/100 g fresh weight,0,0,0,,1,41
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxybenzoic acids,2-Hydroxybenzoic acid,free phenol,301035,mg/100 g fresh weight,2.116551733,2.116551733,2.116551733,,1,32
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxybenzoic acids,2-Hydroxybenzoic acid,free phenol,301035,mg/100 g fresh weight,1.735090891,0.650750309,2.819431472,1.533489156,2,42
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,free phenol,301009,mg/100 g fresh weight,1.157326627,1.157326627,1.157326627,,1,33
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,free phenol,301009,mg/100 g fresh weight,1.898236147,0.533742052,3.262730241,1.929686054,2,43
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,5-8'-Benzofuran dehydrodiferulic acid,free phenol,302090,mg/100 g fresh weight,0.680056179,0.680056179,0.680056179,,1,35
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Rye, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,5-8'-Benzofuran dehydrodiferulic acid,free phenol,302090,mg/100 g fresh weight,1.092134786,1.092134786,1.092134786,,1,70
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,5-8'-Dehydrodiferulic acid,free phenol,302071,mg/100 g fresh weight,1.791666591,1.791666591,1.791666591,,1,36
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Rye, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,5-8'-Dehydrodiferulic acid,free phenol,302071,mg/100 g fresh weight,1.24468081,1.24468081,1.24468081,,1,71
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,1.254350173,0.822259176,1.686441171,0.611068949,2,37
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,1.441830897,0.77804575,2.105616045,0.938733958,2,46
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,Maize [Blue],602,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.653973144,0.653973144,0.653973144,,1,49
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,Maize [Red],602,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.475169528,0.475169528,0.475169528,,1,56
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,Maize [White],602,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.592918932,0.592918932,0.592918932,,1,61
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Maize, whole grain",602,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.839908835,0.748772281,0.931045389,0.128886551,2,66
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Rye, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,1.086585402,1.086585402,1.086585402,,1,72
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,2.134459448,2.134459448,2.134459448,,1,38
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,1.094666442,0.767741936,1.421590948,0.46234107,2,47
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Tubers,"Potato [Purple], raw",101,Baked,Baked,no,Domestic cooking,Baked,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,1.090666683,0.279999983,1.632000065,0.71510935,3,1209
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxybenzoic acids,Syringic acid,free phenol,301020,mg/100 g fresh weight,1.738834906,1.738834906,1.738834906,,1,34
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxybenzoic acids,Syringic acid,free phenol,301020,mg/100 g fresh weight,1.642909026,1.34181819,1.943999863,0.425806745,2,44
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,Phenolic acids,Hydroxybenzoic acids,Vanillic acid,free phenol,301004,mg/100 g fresh weight,1.396643507,1.267199993,1.526087022,0.183060774,2,45
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,Other polyphenols,Hydroxybenzaldehydes,Vanillin,free phenol,908014,mg/100 g fresh weight,1.458333242,1.458333242,1.458333242,,1,30
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,Other polyphenols,Hydroxybenzaldehydes,Vanillin,free phenol,908014,mg/100 g fresh weight,0.938940579,0.568125021,1.309756136,0.52441239,2,40
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Fruit vegetables,"Tomato, whole, raw",202,Baked,Baked,no,Domestic cooking,Baked,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,1.073520613,0.929040813,1.218000412,0.204325292,2,1015
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Baked,Baked,no,Domestic cooking,Baked,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.70289788,0.564536295,0.800724649,0.070744973,8,1236
5 - Folin assay,Folin assay,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour",601,Baked,Baked,no,Domestic cooking,Baked,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.622046435,0.622046435,0.622046435,,1,39
5 - Folin assay,Folin assay,Grouped,Cereals and cereal products,Cereals,Cereals,"Common wheat, whole grain flour with bran",601,Baked,Baked,no,Domestic cooking,Baked,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.73109403,0.718267787,0.743920273,0.018139047,2,48
5 - Folin assay,Folin assay,Grouped,Cereals and cereal products,Cereals,Cereals,Maize [Blue],602,Baked,Baked,no,Domestic cooking,Baked,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.528146803,0.528146803,0.528146803,,1,52
5 - Folin assay,Folin assay,Grouped,Cereals and cereal products,Cereals,Cereals,Maize [Purple],602,Baked,Baked,no,Domestic cooking,Baked,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.287627783,0.287627783,0.287627783,,1,54
5 - Folin assay,Folin assay,Grouped,Cereals and cereal products,Cereals,Cereals,Maize [Red],602,Baked,Baked,no,Domestic cooking,Baked,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.465570599,0.465570599,0.465570599,,1,59
5 - Folin assay,Folin assay,Grouped,Cereals and cereal products,Cereals,Cereals,Maize [White],602,Baked,Baked,no,Domestic cooking,Baked,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.576909524,0.576909524,0.576909524,,1,64
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,0.81382522,0.81382522,0.81382522,,1,814
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,2.648171425,2.648171425,2.648171425,,1,852
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,2.395964622,2.395964622,2.395964622,,1,855
1 - Chromatography,Chrom.,Defined,Vegetables,Vegetables,Cabbages,"Common cabbage [Unknown colour], raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,1.66272378,1.66272378,1.66272378,,1,882
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Phenolic acids,Hydroxycinnamic acids,Caffeic acid,ester,302005,mg/100 g fresh weight,0.578911877,0.578911877,0.578911877,,1,912
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Phenolic acids,Hydroxycinnamic acids,Ferulic acid,free phenol,302008,mg/100 g fresh weight,0.358243203,0.358243203,0.358243203,,1,914
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Onion-family vegetables,"Onion [Unknown color], raw",207,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,0.317187509,0.317187509,0.317187509,,1,1097
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Flavonols,Kaempferol,free phenol,108001,mg/100 g fresh weight,0.409255552,0.409255552,0.409255552,,1,908
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Phenolic acids,Hydroxycinnamic acids,p-Coumaric acid,free phenol,302001,mg/100 g fresh weight,0.475066042,0.475066042,0.475066042,,1,916
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Onion-family vegetables,"Onion [Unknown color], raw",207,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.530487818,0.530487818,0.530487818,,1,1101
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Flavonols,Quercetin,free phenol,108002,mg/100 g fresh weight,0.430769205,0.430769205,0.430769205,,1,910
2 - Chromatography after hydrolysis,Chrom. hydrol,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,Phenolic acids,Hydroxycinnamic acids,Sinapic acid,free phenol,302022,mg/100 g fresh weight,0.53984108,0.53984108,0.53984108,,1,918
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Pulse vegetables,"Fresh pea, raw",206,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.734344428,0.698759409,0.815219372,0.055279671,4,1132
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Root vegetables,"Carrot, raw",203,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.736480501,0.526057501,0.789086307,0.117630033,5,1165
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Root vegetables,"Swede, raw",203,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.800853117,0.800853117,0.800853117,,1,1170
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Tubers,"Potato, peeled, raw",101,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.742820263,0.742820263,0.742820263,,1,1237
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Tubers,"Potato, raw",101,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.534830618,0.534830618,0.534830618,,1,1251
5 - Folin assay,Folin assay,Grouped,Fruits and fruit products,Fruits,Fruits - Stalk vegetables,"Rhubarb, raw",401,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.827615632,0.740686812,0.982113132,0.13414847,3,345
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Cabbages,"Broccoli, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.871287308,0.836138599,0.906436018,0.049707782,2,838
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Cabbages,"Brussel sprouts, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.721933526,0.721933526,0.721933526,,1,842
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Cabbages,"Cauliflower, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.838314198,0.689655185,0.970752001,0.085986886,8,870
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Cabbages,"Common cabbage [Red], raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.558599993,0.558599993,0.558599993,,1,877
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Cabbages,"Common cabbage [Unknown colour], raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.646017942,0.435000002,1.200161576,0.238447338,9,883
5 - Folin assay,Folin assay,Grouped,Vegetables,Vegetables,Cabbages,"Kale, raw",204,Blanched,Blanched,yes,Domestic cooking,Blanched,"Polyphenols, total","Polyphenols, total","Polyphenols, total",compound group,1000001,mg/100 g fresh weight,0.590944386,0.590944386,0.590944386,,1,920
4 - pH differential method (anthocyanins),pH diff.,Grouped,Fruits and fruit products,Fruits,Fruits - Stalk vegetables,"Rhubarb, raw",401,Blanched,Blanched,yes,Domestic cooking,Blanched,Flavonoids,Anthocyanins,"Anthocyanins, total",ester,101000,mg/100 g fresh weight,0.676649161,0.610539967,0.715073317,0.046065683,4,343
