cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,hydrolysis
10500203,(-)-Epicatechin,Flavonoids,5,Flavanols,290,290,Aglycone,no
10500503,(-)-Epicatechin 3-O-gallate,Flavonoids,5,Flavanols,442,290,Aglycone,no
10500403,(-)-Epigallocatechin,Flavonoids,5,Flavanols,306,306,Aglycone,no
10500603,(-)-Epigallocatechin 3-O-gallate,Flavonoids,5,Flavanols,458,306,Aglycone,no
10500103,(+)-Catechin,Flavonoids,5,Flavanols,290,290,Aglycone,no
10901603,"2',7-Dihydroxy-4',5'-dimethoxyisoflavone",Flavonoids,5,Isoflavonoids,314,314,Aglycone,no
10901803,2'-Hydroxyformononetin,Flavonoids,5,Isoflavonoids,284,284,Aglycone,no
10902203,3'-Hydroxydaidzein,Flavonoids,5,Isoflavonoids,270,270,Aglycone,no
10911003,3'-Hydroxymelanettin,Flavonoids,5,Isoflavonoids,300,300,Aglycone,no
10511603,3'-O-Methylcatechin,Flavonoids,5,Flavanols,304,304,Aglycone,no
10511203,3'-O-Methylepicatechin,Flavonoids,5,Flavanols,304,304,Aglycone,no
10911703,3'-O-Methylviolanone,Flavonoids,5,Isoflavonoids,330,330,Aglycone,no
10910403,"4'-Methoxy-2',3,7-trihydroxyisoflavanone",Flavonoids,5,Isoflavonoids,302,302,Aglycone,no
10512103,4'-O-Methylepicatechin,Flavonoids,5,Flavanols,304,304,Aglycone,no
10908203,"5,7-Dihydroxy-8,4'-dimethoxyisoflavone",Flavonoids,5,Isoflavonoids,314,314,Aglycone,no
10900403,Biochanin A,Flavonoids,5,Isoflavonoids,284,284,Aglycone,no
10200303,Butein,Flavonoids,5,Chalcones,272,272,Aglycone,no
10910903,Butin,Flavonoids,5,Isoflavonoids,272,272,Aglycone,no
10904503,Calycosin,Flavonoids,5,Isoflavonoids,284,284,Aglycone,no
10102203,Cyanidin,Flavonoids,5,Anthocyanins,287,287,Aglycone,no
10900103,Daidzein,Flavonoids,5,Isoflavonoids,254,254,Aglycone,no
10911603,Dalbergin,Flavonoids,5,Isoflavonoids,268,268,Aglycone,no
10905203,Dihydrodaidzein,Flavonoids,5,Isoflavonoids,256,256,Aglycone,no
10905503,Dihydrogenistein,Flavonoids,5,Isoflavonoids,272,272,Aglycone,no
10400203,Dihydroquercetin,Flavonoids,5,Dihydroflavonols,304,304,Aglycone,no
10905703,Equol,Flavonoids,5,Isoflavonoids,242,242,Aglycone,no
10600203,Eriodictyol,Flavonoids,5,Flavanones,288,288,Aglycone,no
10900203,Formononetin,Flavonoids,5,Isoflavonoids,268,268,Aglycone,no
10900303,Genistein,Flavonoids,5,Isoflavonoids,270,270,Aglycone,no
10900503,Glycitein,Flavonoids,5,Isoflavonoids,284,284,Aglycone,no
10600303,Hesperetin,Flavonoids,5,Flavanones,302,302,Aglycone,no
10907903,Irisolidone,Flavonoids,5,Isoflavonoids,314,314,Aglycone,no
10911503,Isoliquiritigenin,Flavonoids,5,Isoflavonoids,256,256,Aglycone,no
10803403,Isorhamnetin,Flavonoids,5,Flavonols,316,316,Aglycone,no
10908303,Isotectorigenin,Flavonoids,5,Isoflavonoids,300,300,Aglycone,no
10800103,Kaempferol,Flavonoids,5,Flavonols,286,286,Aglycone,no
10906903,Koparin,Flavonoids,5,Isoflavonoids,300,300,Aglycone,no
10911203,Melanettin,Flavonoids,5,Isoflavonoids,284,284,Aglycone,no
10600103,Naringenin,Flavonoids,5,Flavanones,272,272,Aglycone,no
10907003,O-Desmethylangolensin,Flavonoids,5,Isoflavonoids,258,258,Aglycone,no
10102103,Pelargonidin,Flavonoids,5,Anthocyanins,271,271,Aglycone,no
10101703,Peonidin,Flavonoids,5,Anthocyanins,301,301,Aglycone,no
10503303,Procyanidin dimer B1,Flavonoids,5,Flavanols,578,578,Aglycone,no
10503403,Procyanidin dimer B2,Flavonoids,5,Flavanols,578,578,Aglycone,no
10503503,Procyanidin dimer B3,Flavonoids,5,Flavanols,578,578,Aglycone,no
10503603,Procyanidin dimer B4,Flavonoids,5,Flavanols,578,578,Aglycone,no
10505503,Procyanidin trimer C2,Flavonoids,5,Flavanols,866,866,Aglycone,no
10800203,Quercetin,Flavonoids,5,Flavonols,302,302,Aglycone,no
10910703,Sativanone,Flavonoids,5,Isoflavonoids,300,300,Aglycone,no
10911303,Stevenin,Flavonoids,5,Isoflavonoids,284,284,Aglycone,no
10908103,Tectoridin,Flavonoids,5,Isoflavonoids,462,462,Aglycone,no
10908003,Tectorigenin,Flavonoids,5,Isoflavonoids,300,300,Aglycone,no
10910603,Vestitone,Flavonoids,5,Isoflavonoids,286,286,Aglycone,no
10911403,Violanone,Flavonoids,5,Isoflavonoids,316,316,Aglycone,no
10115903,4'-O-Methylcyanidin 3-O-D-glucoside,Flavonoids,5,Anthocyanins,463,300,Glycoside,no
10116503,4-O-Methyldelphinidin 3-O-D-glucoside,Flavonoids,5,Anthocyanins,479,316,Glycoside,no
10117603,4'-O-Methyldelphinidin 3-O-rutinoside,Flavonoids,5,Anthocyanins,625,317,Glycoside,no
10901403,6''-O-Malonyldaidzin,Flavonoids,5,Isoflavonoids,502,254,Glycoside,no
10108203,"Cyanidin 3,5-O-diglucoside",Flavonoids,5,Anthocyanins,611,287,Glycoside,no
10110103,"Cyanidin 3-O-(2""-xylosyl-6""-(6""'-feruloyl-glucosyl)-galactoside)",Flavonoids,5,Anthocyanins,919,287,Glycoside,no
10110003,"Cyanidin 3-O-(2""-xylosyl-6""-(6""'-sinapoyl-glucosyl)-galactoside)",Flavonoids,5,Anthocyanins,949,287,Glycoside,no
10109603,"Cyanidin 3-O-(2""-xylosyl-6""-glucosyl-galactoside)",Flavonoids,5,Anthocyanins,743,287,Glycoside,no
10109803,"Cyanidin 3-O-(2""-xylosyl-galactoside)",Flavonoids,5,Anthocyanins,581,287,Glycoside,no
10117403,Cyanidin 3-O-(2-O-(6-O-(E)-caffeoyl-D glucoside)-D-glucoside)-5-O-D-glucoside,Flavonoids,5,Anthocyanins,935,287,Glycoside,no
10116203,"Cyanidin 3-O-(3'',6''-O-dimalonyl-glucoside)",Flavonoids,5,Anthocyanins,621,287,Glycoside,no
10108703,Cyanidin 3-O-(6''-dioxalyl-glucoside),Flavonoids,5,Anthocyanins,593,287,Glycoside,no
10101603,Cyanidin 3-O-(6''-malonyl-glucoside),Flavonoids,5,Anthocyanins,535,287,Glycoside,no
10103503,Cyanidin 3-O-arabinoside,Flavonoids,5,Anthocyanins,419,287,Glycoside,no
10114103,Cyanidin 3-O-diglucoside-5-O-glucoside,Flavonoids,5,Anthocyanins,773,287,Glycoside,no
10100803,Cyanidin 3-O-galactoside,Flavonoids,5,Anthocyanins,449,287,Glycoside,no
10100903,Cyanidin 3-O-glucoside,Flavonoids,5,Anthocyanins,449,287,Glycoside,no
10102403,Cyanidin 3-O-glucosyl-rutinoside,Flavonoids,5,Anthocyanins,757,287,Glycoside,no
10101003,Cyanidin 3-O-rutinoside,Flavonoids,5,Anthocyanins,595,287,Glycoside,no
10105303,Cyanidin 3-O-sambubioside,Flavonoids,5,Anthocyanins,581,287,Glycoside,no
10108003,Cyanidin 3-O-sambubioside 5-O-glucoside,Flavonoids,5,Anthocyanins,743,287,Glycoside,no
10101103,Cyanidin 3-O-sophoroside,Flavonoids,5,Anthocyanins,611,287,Glycoside,no
10105603,Cyanidin 3-O-xyloside,Flavonoids,5,Anthocyanins,419,287,Glycoside,no
10106503,Cyanidin 3-O-xylosyl-rutinoside,Flavonoids,5,Anthocyanins,727,287,Glycoside,no
10901003,Daidzin,Flavonoids,5,Isoflavonoids,416,254,Glycoside,no
10103203,Delphinidin 3-O-arabinoside,Flavonoids,5,Anthocyanins,435,303,Glycoside,no
10103003,Delphinidin 3-O-galactoside,Flavonoids,5,Anthocyanins,465,303,Glycoside,no
10103103,Delphinidin 3-O-glucoside,Flavonoids,5,Anthocyanins,465,303,Glycoside,no
10105203,Delphinidin 3-O-rutinoside,Flavonoids,5,Anthocyanins,611,303,Glycoside,no
10900703,Glycitin,Flavonoids,5,Isoflavonoids,448,284,Glycoside,no
10600803,Hesperidin,Flavonoids,5,Flavanones,611,302,Glycoside,no
10116603,Isopeonidin 3-O-arabinoside,Flavonoids,5,Anthocyanins,433,301,Glycoside,no
10116703,Isopeonidin 3-O-galactoside,Flavonoids,5,Anthocyanins,463,301,Glycoside,no
10116803,Isopeonidin 3-O-glucoside,Flavonoids,5,Anthocyanins,463,301,Glycoside,no
10116903,Isopeonidin 3-O-rutinoside,Flavonoids,5,Anthocyanins,609,301,Glycoside,no
10117003,Isopeonidin 3-O-sambubioside,Flavonoids,5,Anthocyanins,595,301,Glycoside,no
10117103,Isopeonidin 3-O-xyloside,Flavonoids,5,Anthocyanins,433,301,Glycoside,no
10804503,Isorhamnetin 3-O-glucoside,Flavonoids,5,Flavonols,478,316,Glycoside,no
10104003,Malvidin 3-O-arabinoside,Flavonoids,5,Anthocyanins,463,331,Glycoside,no
10105703,Malvidin 3-O-galactoside,Flavonoids,5,Anthocyanins,493,331,Glycoside,no
10103903,Malvidin 3-O-glucoside,Flavonoids,5,Anthocyanins,493,331,Glycoside,no
10600903,Naringin,Flavonoids,5,Flavanones,581,272,Glycoside,no
10601203,Neohesperidin,Flavonoids,5,Flavanones,611,302,Glycoside,no
10105403,Pelargonidin 3-O-(6''-malonyl-glucoside),Flavonoids,5,Anthocyanins,519,271,Glycoside,no
10101203,Pelargonidin 3-O-glucoside,Flavonoids,5,Anthocyanins,433,271,Glycoside,no
10102603,Pelargonidin 3-O-glucosyl-rutinoside,Flavonoids,5,Anthocyanins,741,271,Glycoside,no
10102503,Pelargonidin 3-O-sophoroside,Flavonoids,5,Anthocyanins,579,271,Glycoside,no
10114903,Peonidin 3-O-(2-O-(6-O-(E)-caffeoyl-D-glucosyl)-D-glucoside)-5-O-D-glucoside,Flavonoids,5,Anthocyanins,949,301,Glycoside,no
10105803,Peonidin 3-O-arabinoside,Flavonoids,5,Anthocyanins,433,301,Glycoside,no
10114203,Peonidin 3-O-diglucoside-5-O-glucoside,Flavonoids,5,Anthocyanins,787,301,Glycoside,no
10103703,Peonidin 3-O-galactoside,Flavonoids,5,Anthocyanins,463,301,Glycoside,no
10101803,Peonidin 3-O-glucoside,Flavonoids,5,Anthocyanins,463,301,Glycoside,no
10101903,Peonidin 3-O-rutinoside,Flavonoids,5,Anthocyanins,609,301,Glycoside,no
10115503,Peonidin 3-O-sambubioside,Flavonoids,5,Anthocyanins,595,301,Glycoside,no
10115603,Peonidin 3-O-sambubioside-5-O-glucoside,Flavonoids,5,Anthocyanins,757,301,Glycoside,no
10115303,Peonidin 3-O-sophoroside,Flavonoids,5,Anthocyanins,625,301,Glycoside,no
10115703,Peonidin 3-O-xyloside,Flavonoids,5,Anthocyanins,433,301,Glycoside,no
10104703,Petunidin 3-O-(6''-acetyl-glucoside),Flavonoids,5,Anthocyanins,521,317,Glycoside,no
10103803,Petunidin 3-O-arabinoside,Flavonoids,5,Anthocyanins,449,317,Glycoside,no
10103403,Petunidin 3-O-galactoside,Flavonoids,5,Anthocyanins,479,317,Glycoside,no
10103603,Petunidin 3-O-glucoside,Flavonoids,5,Anthocyanins,479,317,Glycoside,no
10907403,Puerarin,Flavonoids,5,Isoflavonoids,416,254,Glycoside,no
10801903,"Quercetin 3,4'-O-diglucoside",Flavonoids,5,Flavonols,626,302,Glycoside,no
10800403,Quercetin 3-O-glucoside,Flavonoids,5,Flavonols,464,302,Glycoside,no
10800703,Quercetin 3-O-rutinoside,Flavonoids,5,Flavonols,611,302,Glycoside,no
10513203,(-)-Epigallocatechin 3'-O-glucuronide,Flavonoids,5,Flavanols,482,306,Glucuronide,no
10512603,(-)-Epigallocatechin 3-O-glucuronide,Flavonoids,5,Flavanols,482,306,Glucuronide,no
10513303,(-)-Epigallocatechin 7-O-glucuronide,Flavonoids,5,Flavanols,482,306,Glucuronide,no
10513003,3'-O-Methyl-(-)-epicatechin 7-O-glucuronide,Flavonoids,5,Flavanols,480,304,Glucuronide,no
10511303,4'-O-Methyl-(-)-epicatechin 3'-O-glucuronide,Flavonoids,5,Flavanols,480,304,Glucuronide,no
10513403,4'-O-Methyl-(-)-epigallocatechin 3'-O-glucuronide,Flavonoids,5,Flavanols,496,320,Glucuronide,no
10513503,4'-O-Methyl-(-)-epigallocatechin 7-O-glucuronide,Flavonoids,5,Flavanols,496,320,Glucuronide,no
10904803,Daidzein 4'-O-glucuronide,Flavonoids,5,Isoflavonoids,430,254,Glucuronide,no
10905003,Daidzein 7-O-glucuronide,Flavonoids,5,Isoflavonoids,430,254,Glucuronide,no
10907503,Daidzin 4'-O-glucuronide,Flavonoids,5,Isoflavonoids,592,254,Glucuronide,no
10905303,Dihydrodaidzein 7-O-glucuronide,Flavonoids,5,Isoflavonoids,432,256,Glucuronide,no
10511403,Epicatechin 3'-O-glucuronide,Flavonoids,5,Flavanols,466,290,Glucuronide,no
10513103,Epicatechin 7-O-glucuronide,Flavonoids,5,Flavanols,466,290,Glucuronide,no
10512203,Epigallocatechin 3-O-gallate-7-O-glucoside-4''-O-glucuronide,Flavonoids,5,Flavanols,796,458,Glucuronide,no
10908503,Equol 4'-O-glucuronide,Flavonoids,5,Isoflavonoids,418,242,Glucuronide,no
10908403,Equol 7-O-glucuronide,Flavonoids,5,Isoflavonoids,418,242,Glucuronide,no
10905803,Formononetin 7-O-glucuronide,Flavonoids,5,Isoflavonoids,444,268,Glucuronide,no
10906003,"Genistein 4',7-O-diglucuronide",Flavonoids,5,Isoflavonoids,622,270,Glucuronide,no
10906203,Genistein 4'-O-glucuronide,Flavonoids,5,Isoflavonoids,446,270,Glucuronide,no
10906403,Genistein 5-O-glucuronide,Flavonoids,5,Isoflavonoids,446,270,Glucuronide,no
10906503,Genistein 7-O-glucuronide,Flavonoids,5,Isoflavonoids,446,270,Glucuronide,no
10906703,Glycitein 4'-O-glucuronide,Flavonoids,5,Isoflavonoids,460,284,Glucuronide,no
10906803,Glycitein 7-O-glucuronide,Flavonoids,5,Isoflavonoids,460,284,Glucuronide,no
10603803,"Hesperetin 3',7-O-diglucuronide",Flavonoids,5,Flavanones,648,302,Glucuronide,no
10603003,Hesperetin 3'-O-glucuronide,Flavonoids,5,Flavanones,478,302,Glucuronide,no
10603903,"Hesperetin 5,7-O-diglucuronide",Flavonoids,5,Flavanones,648,302,Glucuronide,no
10603103,Hesperetin 7-O-glucuronide,Flavonoids,5,Flavanones,478,302,Glucuronide,no
10907603,Irisolidone 7-O-glucuronide,Flavonoids,5,Isoflavonoids,490,314,Glucuronide,no
10806203,Isorhamnetin 3-O-glucuronide,Flavonoids,5,Flavonols,492,316,Glucuronide,no
