bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,timecourse,cumulative,source.graphno,metab.graphno,timepoint,timepoint2,timepoint3,timepoint4,timepoint5,time.unit,baseline.conc,baseline.error,conc,conc.error,metab.measure,error.measure
95,32,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,3201,2,4,8,12,24,hours,0,NA,0.02,NA,% of dose,NA
95,32,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,3201,4,NA,NA,NA,NA,hours,0,NA,0.04,NA,% of dose,NA
95,32,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,3201,8,NA,NA,NA,NA,hours,0,NA,0.04,NA,% of dose,NA
95,32,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,3201,12,NA,NA,NA,NA,hours,0,NA,0.04,NA,% of dose,NA
95,32,human,60101703,Resveratrol,Stilbenes,228,None,TRUE,TRUE,NA,3201,24,NA,NA,NA,NA,hours,0,NA,0.04,NA,% of dose,NA
96,32,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3201,2,4,8,12,24,hours,0,NA,3.8,NA,% of dose,NA
96,32,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3201,4,NA,NA,NA,NA,hours,0,NA,7.6,NA,% of dose,NA
96,32,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3201,8,NA,NA,NA,NA,hours,0,NA,10.4,NA,% of dose,NA
96,32,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3201,12,NA,NA,NA,NA,hours,0,NA,11.4,NA,% of dose,NA
96,32,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3201,24,NA,NA,NA,NA,hours,0,NA,11.5,NA,% of dose,NA
99,33,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,33,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,34,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,34,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,35,human,60101703,Resveratrol,Stilbenes,228,None,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,35,human,60103003,Resveratrol 3-sulfate,Stilbenes,308,None,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,2,5,12,24,48,hours,0,NA,0.2,NA,mg,NA
116,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,5,NA,NA,NA,NA,hours,0,NA,1.6,NA,mg,NA
116,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,12,NA,NA,NA,NA,hours,0,NA,3.5,NA,mg,NA
116,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,24,NA,NA,NA,NA,hours,0,NA,3.5,NA,mg,NA
116,37,human,60103403,trans-Resveratrol 3-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,48,NA,NA,NA,NA,hours,0,NA,3.5,NA,mg,NA
117,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,2,5,12,24,48,hours,0,NA,0,NA,mg,NA
117,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,5,NA,NA,NA,NA,hours,0,NA,0.2,NA,mg,NA
117,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,12,NA,NA,NA,NA,hours,0,NA,1.9,NA,mg,NA
117,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,24,NA,NA,NA,NA,hours,0,NA,1.9,NA,mg,NA
117,37,human,60103603,trans-Resveratrol 4'-O-glucuronide,Stilbenes,404,None,TRUE,TRUE,NA,3702,48,NA,NA,NA,NA,hours,0,NA,1.9,NA,mg,NA
118,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3702,2,5,12,24,48,hours,0,NA,0.8,NA,mg,NA
118,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3702,5,NA,NA,NA,NA,hours,0,NA,3.3,NA,mg,NA
118,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3702,12,NA,NA,NA,NA,hours,0,NA,5,NA,mg,NA
118,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3702,24,NA,NA,NA,NA,hours,0,NA,5.35,NA,mg,NA
118,37,human,60103503,trans-Resveratrol 3-sulfate,Stilbenes,308,None,TRUE,TRUE,NA,3702,48,NA,NA,NA,NA,hours,0,NA,5.35,NA,mg,NA
119,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,2,5,12,24,48,hours,0,NA,0,NA,mg,NA
119,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,5,NA,NA,NA,NA,hours,0,NA,0.5,NA,mg,NA
119,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,12,NA,NA,NA,NA,hours,0,NA,1.6,NA,mg,NA
119,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,24,NA,NA,NA,NA,hours,0,NA,1.85,NA,mg,NA
119,37,human,60103303,"trans-Resveratrol 3,4'-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,48,NA,NA,NA,NA,hours,0,NA,1.85,NA,mg,NA
120,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,2,5,12,24,48,hours,0,NA,0.3,NA,mg,NA
120,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,5,NA,NA,NA,NA,hours,0,NA,2.7,NA,mg,NA
120,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,12,NA,NA,NA,NA,hours,0,NA,6.1,NA,mg,NA
120,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,24,NA,NA,NA,NA,hours,0,NA,7.7,NA,mg,NA
120,37,human,60103203,"trans-Resveratrol 3,5-disulfate",Stilbenes,388,None,TRUE,TRUE,NA,3702,48,NA,NA,NA,NA,hours,0,NA,7.7,NA,mg,NA
121,38,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,1,3,6,12,24,hours,0,NA,0.38,NA,mg,NA
121,38,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,3,NA,NA,NA,NA,hours,0,NA,0.75,NA,mg,NA
121,38,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,6,NA,NA,NA,NA,hours,0,NA,0.8,NA,mg,NA
121,38,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,12,NA,NA,NA,NA,hours,0,NA,0.8,NA,mg,NA
121,38,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,24,NA,NA,NA,NA,hours,0,NA,0.8,NA,mg,NA
122,39,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,40,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,1,3,6,12,24,hours,0,NA,6,NA,mg,NA
123,40,human,60101703,Resveratrol,Stilbenes,228,?-glucuronidase and sulfatase,TRUE,TRUE,3801,NA,3,NA,NA,NA,NA,hours,0,NA,11,NA,mg,NA
